"";"banalfreq";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"colocar";18;-0,0837;0,2273;1,2823;-0,2058;-0,7434;-1,081;-0,1039;1,9851;-0,0585;-0,3237;-1,2559;-0,1022;1,7514;0,4127;-0,0017;-0,1411;-0,0042;-0,2012
"primeiro";17;-0,079;-0,3682;0,5248;-0,1943;0,3332;-0,4739;-0,0981;0,4125;-0,0552;0,2964;-0,2775;-0,0965;0,1956;0,777;-0,0016;-0,1332;-0,0039;-0,1833
"forma";24;-0,1116;0,4857;-0,2176;-0,2744;-0,4602;-0,4144;-0,1386;0,9498;-0,078;0,2007;0,8743;-0,1363;0,3889;-0,2748;-0,0022;-0,1882;-0,0056;-0,3173
"passar";31;0,5489;0,3478;-0,2812;-0,3546;-0,6683;-0,6622;-0,179;-0,2512;-0,1008;-0,5579;1,1105;0,477;-0,8038;0,5942;-0,0029;-0,2432;-0,0072;1,181
"desde";18;-0,0837;0,2273;-0,1632;-0,2058;0,3055;-0,5161;-0,1039;-0,6352;-0,0585;-0,3237;1,4011;-0,1022;0,553;-0,2123;-0,0017;-0,1411;-0,0042;0,4308
"emprego";11;-0,0511;0,3745;-0,0997;-0,1257;-0,4541;-0,2401;-0,0635;-0,388;-0,0357;-0,1978;-0,3022;-0,0624;-0,2849;1,0961;-0,001;-0,0862;-0,0025;1,4131
"registrar";19;0,7351;0,6283;-0,1722;-0,2172;0,2804;-1,1411;-0,1097;0,3539;-0,0617;-0,3417;0,8567;-0,1079;-0,4923;-0,2493;-0,0018;0,5371;-0,0044;0,4014
"ano";51;-0,2375;1,4419;-0,1449;-0,2099;-1,3239;1,5812;0,3073;-1,803;-0,166;-0,1816;-0,9687;0,3122;0,242;-0,2956;-0,0047;-0,4005;-0,0118;1,5748
"inteiro";10;-0,0465;1,0865;0,7252;0,6358;0,6424;-0,6003;-0,0577;-0,3527;-0,0325;-0,1798;-0,6974;-0,0568;0,9565;-0,5209;-9e-04;-0,0784;-0,0023;0,2817
"contar";19;-0,0883;-0,4116;-0,1722;-0,2172;0,6114;-0,261;-0,1097;0,7428;-0,0617;0,2638;-0,3472;-0,1079;0,5203;-0,4603;-0,0018;0,5371;-0,0044;0,4014
"federal";18;-0,0837;0,2273;-0,1632;0,4232;1,7198;-0,2334;-0,1039;-0,2329;-0,0585;-0,3237;-0,3117;-0,1022;-0,4664;0,4127;-0,0017;-0,1411;-0,0042;-0,2012
"certeza";11;-0,0511;0,3745;-0,0997;0,5998;0,1881;0,7947;-0,0635;-0,388;-0,0357;-0,1978;-0,7672;0,8732;-0,2849;-0,6012;-0,001;-0,0862;-0,0025;1,4131
"estar";31;-0,1442;0,3478;0,8741;0,2533;-0,3394;0,4309;-0,179;1,0487;-0,1008;-0,5579;0,3052;-0,1761;-0,3399;-0,3694;-0,0029;-0,2432;-0,0072;-0,2089
