"";"banalfreq";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"possível";16;-0,0744;-0,3466;-0,145;1,1979;-0,6607;-0,1815;-0,0923;-0,1925;-0,052;1,6026;0,3657;0,7241;-0,4145;0,2955;-0,0015;-0,1254;-0,0037;-0,5142
"deputado_federal";12;-0,0558;0,9476;-0,1087;-0,1371;-0,4954;1,235;-0,0692;0,2057;-0,039;-0,2157;-0,3467;-0,0681;0,8227;-1,3384;-0,0011;0,7107;-0,0028;0,2303
"maior";31;-0,1442;1,8001;-0,2812;0,2533;-0,6683;-0,3772;-0,179;-1,0947;0,6838;0,4441;1,4995;-0,1761;-0,8038;-0,2243;-0,0029;-0,2432;-0,0072;-0,2089
"momento";40;-0,1862;0,8932;-0,363;1,0725;0,304;0,5984;0,3844;-0,77;0,5869;-0,7202;0,4187;1,0235;0,3868;-0,7772;-0,0037;-0,3139;-0,0093;-0,6762
"vida";24;-0,1116;0,4857;-0,2176;0,3294;0,7758;-0,7823;-0,1386;-0,3651;-0,078;0,2007;-0,2888;-0,1363;0,3889;1,1406;-0,0022;-0,1882;-0,0056;-0,7716
"fato";13;-0,0604;0,8887;-0,1178;0,538;-0,5367;-0,3138;-0,075;-0,1362;-0,0422;-0,2337;1,4873;-0,0738;-0,3368;-0,7679;-0,0012;-0,1019;-0,003;0,6271
"usar";18;-0,0837;1,2669;-0,1632;0,4232;0,3055;0,7105;-0,1039;-0,6352;-0,0585;-0,3237;0,5648;-0,1022;-0,4664;-0,2123;-0,0017;-0,1411;-0,0042;-0,5785
"em";112;0,9331;-0,4447;-1,0204;0,4796;-0,2492;-0,2846;0,7357;-0,9162;1,2949;-0,2823;0,3018;0,75;0,6999;-1,0513;-0,0104;0,4899;-0,026;0,7605
"tema";10;-0,0465;0,406;0,7252;-0,1143;1,2605;-0,6003;-0,0577;-0,3527;-0,0325;-0,1798;-0,6974;-0,0568;0,3476;0,3951;-9e-04;-0,0784;-0,0023;0,2817
"povo";59;-0,2749;0,8017;-0,1836;-0,6759;1,0836;-0,2995;0,2642;0,5072;-0,1921;-0,2444;-1,3022;-0,3357;-0,2578;0,4542;-0,0055;0,546;-0,0137;-0,2311
"coisa";12;-0,0558;0,9476;0,6546;-0,1371;-0,4954;0,3272;-0,0692;-0,4233;-0,039;-0,2157;-0,837;-0,0681;0,2914;0,9482;-0,0011;-0,094;-0,0028;0,2303
"presença";20;-0,093;-0,4333;-0,1813;-0,2287;0,2576;0,5973;-0,1154;0,3284;-0,065;-0,3597;1,1936;-0,1136;-0,5183;0,3136;-0,0018;-0,1568;-0,0046;-0,2384
"assunto";16;-0,0744;-0,3466;-0,145;-0,1829;-0,2462;0,4665;-0,0923;1,5041;-0,052;0,8683;-0,5375;-0,0908;-0,4145;0,2955;-0,0015;-0,1254;-0,0037;-0,1659
"sempre";21;-0,0976;1,1008;-0,1904;-0,2401;0,2369;1,8802;-0,1212;-0,7412;-0,0682;-0,3777;0,4203;-0,1193;-0,5442;-0,5745;-0,0019;-0,1646;-0,0049;0,3493
