"";"*partido_AVANTE";"*partido_MDB";"*partido_NOVO";"*partido_PCdoB";"*partido_PDT";"*partido_PL";"*partido_PODE";"*partido_PP";"*partido_PRD";"*partido_PSB";"*partido_PSD";"*partido_PSDB";"*partido_PSOL";"*partido_PT";"*partido_REDE";"*partido_REPUBLICANOS";"*partido_SOLIDARIEDADE";"*partido_UNIÃO"
"orientar";0;0;0;0;0;1;0;11;0;0;0;0;1;0;1;0;0;0
"tempo";0;1;0;0;5;6;0;6;3;1;2;1;7;3;0;0;0;1
"atenção";0;3;0;1;0;2;0;3;0;0;0;0;2;4;0;0;0;2
"próximo";0;1;0;0;13;2;1;0;0;0;1;0;1;2;0;0;0;4
"legislativo";0;1;0;0;1;1;2;2;0;0;1;1;2;0;0;0;0;2
"haver";0;0;0;0;0;8;0;4;0;1;5;0;0;6;0;0;0;2
"vereador";0;1;0;1;4;5;2;1;0;0;4;0;1;1;0;0;0;0
"respeitar";0;0;1;0;0;11;0;0;0;0;0;0;1;1;0;0;0;0
"bem";0;2;1;1;14;5;0;2;0;0;7;1;1;7;0;0;0;1
"parabenizar";0;0;0;0;0;0;0;0;0;0;2;2;0;8;0;2;0;1
"milícia";0;0;0;0;0;1;0;0;0;0;1;0;10;5;0;0;0;0
"mil";0;2;0;2;0;0;1;1;0;4;2;0;0;19;0;0;0;1
"milhão";0;1;0;0;0;3;0;0;0;2;1;0;0;2;0;0;0;2
"servidor";0;0;0;0;3;2;0;1;0;0;0;0;0;15;0;10;0;1
"serviço";1;1;0;0;3;0;0;0;0;1;1;0;0;9;0;3;0;2
"alguma";0;1;0;0;0;1;1;1;0;0;1;0;0;5;0;0;0;0
"ninguém";0;0;0;1;2;4;0;1;1;0;3;0;0;0;0;0;0;0
"democracia";0;0;10;0;0;3;0;0;0;0;1;0;5;3;0;0;0;0
"passo";0;0;0;1;1;0;0;2;0;0;3;1;1;2;0;0;0;0
"debate";0;0;0;1;2;0;0;0;0;0;3;0;8;4;0;0;0;0
"minas_gerais";0;2;0;0;1;0;0;0;0;0;12;0;0;3;0;0;0;0
"pedido";0;0;0;1;1;0;0;1;0;2;14;0;0;1;0;0;0;0
"favor";0;0;0;1;4;1;0;3;2;0;3;0;0;2;0;0;0;2
"frente";0;0;0;0;1;3;0;2;0;0;2;0;0;1;0;1;0;0
"trabalhar";0;1;0;0;2;0;3;0;0;0;3;0;1;0;0;0;0;2
"conseguir";0;1;0;0;0;2;1;0;1;0;1;0;1;2;0;2;0;0
"amigo";0;0;0;0;3;3;0;0;0;0;3;0;2;1;0;0;0;0
"supremo";0;0;1;1;0;0;0;0;0;0;8;0;0;1;0;0;0;0
"cuidar";3;1;0;0;0;0;0;2;2;0;0;0;0;1;0;1;0;0
"ministério";0;1;0;0;3;1;0;1;0;0;1;0;0;4;0;0;0;2
"mundo";0;1;2;0;2;4;0;0;0;0;3;0;2;3;0;0;0;1
"tão";0;0;0;3;1;0;0;1;0;5;2;0;3;0;0;0;0;0
"chamar";0;1;0;1;4;2;0;1;0;0;6;0;2;2;0;0;0;1
"possibilidade";0;0;0;1;0;0;1;4;0;1;2;0;0;2;0;0;0;0
"comunicação";0;0;0;1;4;1;1;6;0;1;15;1;0;7;0;0;0;2
"possível";0;0;0;2;0;2;0;1;0;3;3;1;0;4;0;0;0;0
"parte";0;0;0;1;1;1;0;2;1;1;1;0;1;9;0;0;0;0
"diante";0;4;0;1;0;2;0;0;0;0;2;0;0;1;0;0;0;0
"comissão_de_constituição_e_justiça";0;0;0;1;0;0;0;4;0;1;0;0;3;1;0;0;0;0
"deputado_federal";0;2;0;0;0;4;0;1;0;0;1;0;2;0;0;1;0;1
"maior";0;5;0;1;1;3;0;0;1;2;9;0;0;7;0;0;0;2
"estado";0;7;0;3;3;5;2;3;0;2;22;0;4;19;0;3;0;18
"manutenção";0;0;0;1;0;1;0;4;0;1;1;0;3;4;0;0;1;1
"aparte";0;0;0;0;10;0;0;0;0;0;1;0;0;0;0;0;0;0
"momento";0;4;0;3;4;7;1;1;1;0;7;2;3;6;0;0;0;1
"vida";0;2;0;1;4;1;0;1;0;1;3;0;2;9;0;0;0;0
"criação";0;0;0;0;1;0;5;1;0;0;0;0;0;4;0;0;0;0
"nacional";1;0;0;0;2;1;1;0;1;6;1;0;1;4;0;5;0;3
"preso";0;0;0;0;0;23;0;1;0;0;2;0;2;5;0;0;0;2
"fato";0;2;0;1;0;1;0;1;0;0;5;0;0;1;0;0;0;2
"rio_grande_do_sul";0;0;0;0;6;0;0;2;0;2;9;0;0;1;0;1;0;0
"usar";0;3;0;1;2;4;0;0;0;0;4;0;0;4;0;0;0;0
"ação";0;0;0;3;1;0;1;3;0;0;2;0;0;12;0;0;0;3
"microfone";0;0;0;0;9;0;0;0;0;0;2;0;0;0;0;0;0;0
"desenvolvimento";0;4;0;0;0;1;0;0;0;2;1;0;0;2;0;1;0;0
"em";3;4;0;4;10;14;3;5;3;4;17;3;9;19;0;3;0;11
"tema";0;1;1;0;3;0;0;0;0;0;0;0;1;3;0;0;0;1
"constituição_federal";0;0;0;0;0;11;0;1;0;1;2;0;0;2;0;0;0;1
"colega";5;0;1;0;6;2;0;0;0;1;2;0;0;3;0;0;0;4
"povo";0;5;1;0;9;7;1;6;0;2;4;0;3;15;0;2;0;4
"coisa";0;2;1;0;0;2;0;0;0;0;0;0;1;5;0;0;0;1
"presença";0;0;0;0;2;4;0;2;0;0;6;0;0;5;0;0;0;1
"assunto";0;0;0;0;1;3;0;4;0;2;1;0;0;4;0;0;0;1
"sempre";0;3;0;0;2;7;0;0;0;0;4;0;0;3;0;0;0;2
"rural";0;7;0;0;0;0;0;3;0;3;0;0;0;21;0;0;0;3
