"";"*partido_AVANTE";"*partido_MDB";"*partido_NOVO";"*partido_PCdoB";"*partido_PDT";"*partido_PL";"*partido_PODE";"*partido_PP";"*partido_PRD";"*partido_PSB";"*partido_PSD";"*partido_PSDB";"*partido_PSOL";"*partido_PT";"*partido_REDE";"*partido_REPUBLICANOS";"*partido_SOLIDARIEDADE";"*partido_UNIÃO"
"rio_de_janeiro";0;5;0;0;1;16;0;1;0;0;18;0;6;9;0;1;0;1
"algum";0;0;1;0;2;3;1;4;0;2;3;1;0;3;0;0;0;0
"programa";1;4;0;1;5;4;0;0;0;0;0;1;2;45;0;3;0;1
"especialmente";0;2;0;1;1;0;0;1;0;0;2;0;0;0;0;1;0;3
"lutar";0;1;0;0;1;1;0;0;1;1;0;0;0;6;0;0;0;2
"antes";0;0;0;0;4;2;0;3;0;1;4;1;0;3;0;0;0;2
"ele";0;0;0;0;3;1;0;2;2;1;5;0;0;1;0;0;0;0
"assim";0;1;0;0;2;4;0;2;0;0;2;1;1;5;0;0;0;2
"deus";0;3;0;0;3;11;1;1;0;0;2;0;0;0;0;0;0;0
"matéria";0;0;0;0;1;0;0;6;0;0;1;1;1;2;0;1;0;2
"muito";0;4;1;3;1;2;0;0;0;1;0;1;0;1;0;0;0;0
"muita";0;3;0;1;3;3;1;2;0;1;5;1;3;5;0;0;0;2
"popular";0;1;0;0;0;1;0;0;0;0;1;0;0;6;0;0;0;1
"município";0;4;0;0;0;4;0;0;0;0;0;0;0;5;0;1;0;3
"ainda";0;1;0;5;3;2;1;3;1;0;4;0;2;3;0;0;0;0
"o";0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0
"algo";0;0;0;3;0;0;0;0;0;1;1;1;1;4;0;0;0;3
"jaboatão";0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
"civil";0;0;0;0;0;1;0;0;0;0;3;0;4;1;0;1;0;0
"questão";0;2;0;0;1;2;1;0;0;0;2;0;3;7;0;0;0;0
"tribuna";1;3;0;0;16;2;0;4;0;2;14;2;2;3;0;1;0;4
"anderson";0;0;0;2;0;0;0;0;0;0;1;0;4;3;0;0;0;0
"gostar";2;0;1;2;0;3;0;0;0;0;2;0;0;4;0;1;0;3
"seguir";0;0;0;1;0;3;0;0;0;2;2;1;4;1;0;0;0;0
"minha_casa_minha_vida";0;7;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0
"devido";0;0;2;0;0;6;1;0;0;0;0;0;0;1;0;0;0;0
"cumprir";0;0;1;0;0;4;0;0;1;0;0;0;0;4;0;0;0;1
"inclusive";0;0;1;2;1;1;0;3;1;0;4;1;1;14;0;0;0;0
"liberar";0;1;0;0;0;3;4;0;0;0;2;0;0;1;0;0;0;0
"tarde";0;1;1;0;1;0;0;1;0;2;2;1;1;2;0;1;0;1
"continuar";0;2;0;1;0;3;0;3;1;3;4;1;3;7;0;0;0;1
"mostrar";0;0;0;0;1;4;0;0;0;1;3;0;1;5;0;0;0;1
"apoio";1;1;0;1;1;1;0;0;0;0;0;0;0;8;0;0;0;0
"menos";0;2;0;1;2;0;0;0;0;1;0;1;2;3;0;0;0;1
"zona";0;0;0;0;0;6;0;0;0;1;0;0;0;2;0;0;0;1
"ver";0;3;2;0;2;3;0;4;0;3;8;0;3;9;0;0;0;5
"vez";0;2;1;0;3;8;2;1;0;0;8;0;2;9;0;1;0;1
"preciso";0;0;0;1;3;3;0;2;0;1;0;0;3;4;0;0;0;1
"quase";0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;2
"minuto";0;0;0;1;18;3;0;14;0;0;14;0;1;2;0;0;0;0
"polícia_federal";0;0;0;1;0;0;0;0;0;0;1;0;2;6;0;0;0;2
"dia";0;1;1;1;1;8;1;6;0;0;5;1;4;12;0;2;0;5
"bahia";0;2;0;1;0;0;0;0;0;0;7;0;0;2;0;0;0;6
"situação";0;2;1;0;2;2;0;2;0;1;0;0;1;2;0;0;0;2
"inafiançável";0;0;0;0;0;6;0;1;0;0;2;0;0;2;0;0;0;0
"bom";0;0;0;1;7;4;0;2;0;2;3;0;0;5;0;0;0;1
"aprovação";0;0;0;0;1;0;0;4;0;2;0;3;0;1;0;0;0;0
"semana";0;1;1;0;1;0;0;0;0;0;0;0;1;3;0;1;0;2
"ontem";0;1;0;0;0;0;0;1;1;3;0;0;0;7;0;0;0;1
"tudo";0;1;1;0;4;4;0;0;0;0;1;0;0;7;0;1;0;2
"garantia";0;0;0;1;0;0;0;0;0;2;5;0;0;2;0;0;0;0
"audiência";0;2;0;0;0;6;0;2;0;2;1;0;0;1;0;0;0;3
"instituição";1;0;4;0;1;0;0;0;0;0;0;0;3;5;0;2;0;0
"palavra";0;0;0;0;30;5;0;9;0;0;25;0;0;0;0;0;0;0
"garantir";0;0;0;1;1;0;0;0;0;3;0;0;4;2;0;0;0;0
"nada";0;3;0;0;0;4;0;1;0;2;0;0;2;3;0;0;0;6
"trazer";0;0;0;0;1;2;0;1;0;2;2;3;0;4;0;0;0;0
"construir";0;0;0;2;0;2;0;0;0;0;0;0;0;3;0;0;0;3
"perder";0;0;0;0;1;1;0;0;0;0;0;0;1;6;0;0;0;1
"amazona";0;0;0;0;1;1;0;0;0;0;6;0;0;0;0;1;0;9
"colocar";0;1;2;0;0;0;0;5;0;0;0;0;4;5;0;0;0;1
"primeiro";0;0;1;0;2;1;0;2;0;1;2;0;1;6;0;0;0;1
"justiça";1;1;0;3;0;3;0;4;1;1;2;0;7;18;0;0;0;4
"esperar";0;1;0;1;0;3;0;2;0;3;0;0;6;2;0;0;0;1
"forma";0;2;0;0;1;2;0;4;0;1;6;0;2;5;0;0;0;1
"passar";1;2;0;0;1;2;0;2;0;0;8;1;0;9;0;0;0;5
"desde";0;1;0;0;2;1;0;0;0;0;6;0;2;4;0;0;0;2
"precisar";1;3;6;1;4;3;0;6;0;4;3;0;14;15;0;1;0;7
"resolução";0;0;0;0;0;4;0;3;0;5;1;0;0;0;0;0;0;1
"emprego";0;1;0;0;0;1;0;0;0;0;1;0;0;5;0;0;0;3
"ministro";0;5;2;3;2;1;0;2;0;1;6;0;7;2;0;0;0;3
"registrar";1;2;0;0;2;0;0;2;0;0;5;0;0;4;0;1;0;2
"comissão";0;0;0;0;2;2;0;3;0;6;3;6;0;3;0;1;0;1
"voto";2;4;1;2;0;5;0;5;0;0;5;0;3;0;0;0;0;1
"investimento";0;0;0;0;0;1;0;0;0;0;1;0;0;4;0;0;0;4
"fazer";2;9;8;4;18;29;4;16;1;10;16;1;13;48;0;4;1;19
"ano";0;6;1;1;1;12;1;0;0;2;4;1;3;11;0;0;0;8
"unidade";0;5;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0
"caixa_econômica";0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0
"inteiro";0;2;1;1;2;0;0;0;0;0;0;0;2;1;0;0;0;1
"qualquer";0;2;1;1;0;3;0;1;0;1;1;0;5;3;0;0;0;1
"ouvir";0;0;0;0;2;1;0;0;0;1;41;0;5;4;0;0;0;1
"crime";0;1;0;6;0;11;0;4;1;4;17;0;4;8;0;0;0;9
"cautelar";0;0;0;0;0;0;0;6;0;0;5;0;0;0;0;0;0;0
"soltar";0;0;0;0;0;6;0;0;0;0;0;0;1;4;0;0;0;0
"educação";0;0;0;0;5;0;0;0;0;0;6;0;0;2;0;0;0;0
"contar";0;0;0;0;3;2;0;3;0;1;2;0;2;3;0;1;0;2
"federal";0;1;0;1;5;2;0;1;0;0;2;0;0;5;0;0;0;1
"certeza";0;1;0;1;1;3;0;0;0;0;0;1;0;1;0;0;0;3
