"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"outro";0,0354159657877345;0,713937585098176;0,091214652086424;0,439154719332877;-0,434005941014254;0,872540399200296;0,0274730140348328;0,553818506968111;0,0707573932042987;0,340662847937175;-0,336668817113406;0,676850513603395;0,000504903547130117;0,168247456891199;0,00242159867398343;0,0532842225380702;0,046621876503502;0,178314711668798;5,60368115865069e-06;0,00227717144638488;3,71710175215817e-05;0,000861609236838443;0,000841524155632172;0,00340131086330578;0,00446760982874162;0,739551093147161;0,00244349584233132
"saber";0,340887224358473;-0,0548973600326841;0,0750970947142337;-0,559787310096679;-0,450621618290495;-0,0802208506008875;0,423563892705312;-0,0682118244778706;0,0933106772419577;-0,695554644495117;-0,559912584402328;-0,0996771170306798;0,111856508210918;0,00237881408605237;0,00392508254402548;0,207032815352126;0,120185482415916;0,00360429373595288;0,000605680341113753;1,57081466641154e-05;2,93946503660686e-05;0,00163330813687039;0,00105839084147074;3,35425868189943e-05;0,00521221146686523;0,478248262647842;0,00119214430757986
"pouco";-0,486167504529705;-1,45852733758583;0,92483105412083;0,866078167269094;0,314208868580569;-0,0247990892148508;-0,241031462141561;-0,723106693631908;0,45851147831096;0,429383052221251;0,155778044205324;-0,0122948586187732;0,0412769383234801;0,304636925062532;0,107999848329045;0,0899089830803722;0,0106013374206777;6,2490345857999e-05;0,000351986362562383;0,00316798509975458;0,00127373414544489;0,00111703855818346;0,000147024889195356;9,15852309584701e-07;0,00148920327624721;1,12280798826104;0,00187743526210395
"além";-0,155250536015792;0,0143122317916824;0,796883117030157;1,49727894142614;0,0532845501735208;0,641431103902973;-0,0852632777052051;0,00786024850639715;0,437646582418372;0,822302540533495;0,0292637662673172;0,352272653894556;0,00566544783957664;3,94821255281666e-05;0,107924487712308;0,361681873701396;0,00041035411629954;0,056269609922774;4,35854049424786e-05;3,70415874970788e-07;0,001148323150466;0,00405396786336018;5,1342554922142e-06;0,000744003365378275;0,00180831826401447;0,967808184181064;0,0016937661507556
"política";0,874676332174689;0,305693373384815;0,528003736108681;-0,740838017127104;-0,991984946305325;0,268629637637075;0,528186570986163;0,184597580524302;0,318843065239622;-0,44736627427619;-0,59902515706148;0,16221608148012;0,175872018625717;0,0176153720732472;0,0463381514372832;0,0865967915549357;0,139091413011421;0,00965196403367965;0,00170899185271757;0,000208745581231692;0,000622757882378389;0,00122600365067942;0,00219814028375959;0,00016119556712664;0,00223380491437081;0,978638519559788;0,00213938946827887
"político";1,38440693684288;0,340919777982794;0,390633166847142;-0,127594716509413;-0,179030113035139;-1,51466765726109;0,65059809998235;0,16021427941399;0,183576945027749;-0,059962773892278;-0,0841346921057114;-0,71181375482419;0,421864087832542;0,0209781502097396;0,0242854394933494;0,00245959548911126;0,00433795809681688;0,293822853055128;0,00224257081529258;0,000135995026616127;0,000178548769434241;1,90495190397077e-05;3,75034140099054e-05;0,00268443774401457;0,00117008828847995;1,00011696257855;0,00117036201757374
"área";0,616030187164594;1,15802823874368;0,968043113425024;-0,82859392998054;0,103161043211223;1,53821913374717;0,257553587983912;0,484155377592619;0,404725259217073;-0,346423509910171;0,0431301864304822;0,643107862661019;0,0627289044266892;0,181768987230511;0,11199943422096;0,0778933695166502;0,00108164145126164;0,227565266843922;0,000645877147534168;0,00228236043268214;0,00159490687280011;0,00116850190541533;1,81124575452446e-05;0,00402700666469679;0,00170194660142538;1,15409470324093;0,00226688153864273
"defensoria_pública";1,58486963445994;6,28470441944597;2,16703365293132;1,81071226407684;6,6227440204539;-12,3677313234401;0,100882557205234;0,400043662473721;0,13793935583352;0,115258239284265;0,421561078572073;-0,787249837846169;0,0124449446855683;0,160469821310647;0,0168228630038319;0,0111495682371874;0,13361954162926;0,440952500771366;0,0026718559283408;0,0420141576851438;0,00499525034883191;0,00348758526037471;0,0466553966178682;0,16270692276226;0,00106371662589086;6,6660775854761;0,0472679399804136
"mesa";-1,85247055849727;1,66383811724822;-1,32271927561224;-1,05854612235229;0,295277654245814;-0,12823042698906;-0,611614876212904;0,549335663906357;-0,43671127851784;-0,349491414380877;0,09748937985632;-0,042336779048873;0,32861897763702;0,217385175365127;0,121140145656494;0,0736483234043223;0,00513380458102785;0,000916174146954679;0,0047453901937336;0,00382817196524894;0,0024193832216775;0,00154949033197659;0,000120567557734266;2,27379588634566e-05;0,00138283161365812;1,5162761334383;0,00317925891573766
"passado";0,399851982296564;0,596111218300273;0,277990298655365;-0,675132203288721;-0,157545506589125;0,362435968598726;0,364331872416861;0,543156782879106;0,253295545619462;-0,615158085100269;-0,143550243459609;0,330239640960077;0,0585590095249489;0,10672534791413;0,0204652573894472;0,114584571677385;0,00558978900787544;0,027993915158283;0,000255103086501157;0,000566985296112278;0,000123303807275554;0,000727268628737607;3,96031060202491e-05;0,000209594454846447;0,00159557493883629;0,77531055598993;0,000959110400323499
"liberdade";0,398654321641529;-1,11210976915223;-1,57235011256694;-0,231407862245796;-0,81225096971279;-0,873581994007872;0,172442841138373;-0,481056789904301;-0,68013942394708;-0,100098323437478;-0,351349169771751;-0,377878660373588;0,0112547551229607;0,0718217830205804;0,126591435542241;0,00260287073227488;0,0287284193778622;0,0314453396078623;0,000270482320031431;0,00210494736924809;0,00420769684329629;9,1138557530764e-05;0,00112286205773746;0,00129883289055168;0,00170194660142538;1,76320072662934;0,00529114230807142
"flagrante";0,064200573429845;-1,97399742878151;0,190846462152405;-0,00626313156799252;-1,66470933903641;-1,0640249291074;0,0229278179051224;-0,704969615913782;0,0681566020099289;-0,00223673921329806;-0,594514200594977;-0,379993020587948;0,000447753869006331;0,347114273156063;0,00286083279303805;2,92481152174542e-06;0,18510856860049;0,071560107393996;7,01493650245025e-06;0,00663191719831682;6,19889324388285e-05;6,67619479425327e-08;0,004716531745091;0,00192685722754941;0,00170194660142538;1,42361494424514;0,00344930030333468
"próprio";-0,205614492811871;-0,535836654417059;-0,750553012708082;-0,026309786320969;0,876956270337345;0,99532608999703;-0,1262330569069;-0,328966591628926;-0,460787563508532;-0,0161523864803732;0,538390408499287;0,611061279004665;0,00846062896628004;0,0471170200321622;0,0815118339682442;9,50786766002131e-05;0,0946322655175208;0,115353778542565;6,29595229401083e-05;0,000427581415066071;0,000838912620826773;1,03083373976925e-06;0,00114527520489052;0,00147531500436154;0,00148920327624721;1,04887975437143;0,00163834510667204
"fim";1,09517396032215;0,694179527783048;-0,476258998797018;-0,71186860971724;-0,761459093124145;-0,190315102693287;0,629066486376017;0,398735810270902;-0,273562544246461;-0,408896395732855;-0,437381104358774;-0,109316745369239;0,111000784372474;0,0365696839015897;0,0151778037821457;0,0321893937448683;0,032994468866003;0,00195034832195336;0,00140341091767309;0,000563848248561222;0,00026540250752968;0,000592950334273834;0,000678440533508764;4,23804086208617e-05;0,00117008828847995;1,54238712063604;0,00278359092957592
"santa_catarina";-0,914724284151445;0,897026872454721;0,585274318835629;-0,594438763999122;-1,37688737059695;0,158076743544389;-0,443284838981363;0,434708490424435;0,283629981930188;-0,288071166742966;-0,667253845716738;0,0766056231619311;0,036853087461483;0,0290617753139116;0,0109087530823298;0,010682206941517;0,0513426700925469;0,000640376322327673;0,00124604693375484;0,0011982981532478;0,000510120667592716;0,000526221063506782;0,00282325961475709;3,7212593968129e-05;0,00148920327624721;2,23576717052161;0,00744401316572183
"necessário";-0,314896817618603;-0,907317668138862;-0,622707855565833;-0,0234276249565732;0,800427836027476;0,366658006050241;-0,218036719687415;-0,628232986193713;-0,431167196854954;-0,0162214484548556;0,554221732165313;0,253876522128435;0,0301787976016766;0,205447990988003;0,0853290269818332;0,000114650300451774;0,119894128096495;0,023806391871948;0,000116025961409378;0,00096324634188771;0,000453719371047483;6,42207182444885e-07;0,000749657688284642;0,000157304438613778;0,00117008828847995;0,850531906551327;0,000846447161438164
"brasileiro";0,4477813124789;0,238437585638482;-0,339089631521133;0,0880048250536799;0,0873397181989955;-0,843714473918202;0,427026288709988;0,22738581188327;-0,323372554533147;0,0839257306724152;0,0832914520550715;-0,804607629857638;0,0891112337092564;0,0207189494782901;0,0369481129417756;0,00236247257898804;0,00208454971314651;0,18407608530328;0,00145032986477632;0,00041122952799355;0,000831694598228844;5,60206092783277e-05;5,51770443043757e-05;0,00514903517901676;0,00723327305605787;0,703838536468138;0,00358328163050713
"urbano";1,75302066934089;1,51022473079981;0,9980805281344;-1,48685524727352;-0,0648269832234338;2,42610568693334;0,461146339078255;0,397276893520957;0,262553197292033;-0,39112936088613;-0,0170532649784523;0,638206825117981;0,256535555800422;0,156125708649591;0,0601267007869613;0,126667195503152;0,000215711487984618;0,285889871379531;0,00359577663424105;0,0026687124893855;0,00116560069642075;0,00258675925856747;4,91734020767632e-06;0,00688712656588376;0,00117008828847995;1,62400199406618;0,00308597034826509
"estadual";0,611262948106811;1,00101760566582;0,395361525813753;-0,293407024613538;-0,766625103842299;-1,84667351644406;0,257937654914084;0,422404358930708;0,166832661995136;-0,123810415956883;-0,323496593562213;-0,779249973679566;0,03255194850813;0,0715850037183273;0,00984628426945721;0,00514772268942149;0,0314829251767984;0,172864945119561;0,000516684511484627;0,00138564740017955;0,000216151427424649;0,000119044768344155;0,000812709567911479;0,00471573662295141;0,00138283161365812;1,58969160786973;0,00349458060905318
"acontecer";0,598817236717844;-0,488426593873487;-0,961614578537229;-0,329578818779438;-0,79636347397793;-0,350321548983808;0,387554554788112;-0,3161097235157;-0,622357018153697;-0,213303433080437;-0,515406492469514;-0,226728129426031;0,0902842106411458;0,0492537836278625;0,168340267353265;0,0187713318520346;0,0981824900523837;0,01797888559589;0,00118243214261273;0,000786658511401822;0,00304922673410438;0,000358184036956657;0,00209127095662931;0,000404688949915418;0,00329752154026167;0,935107833132392;0,00288344074536244
"realizar";0,795136258255821;1,4627745831589;-0,527776252272989;1,30372045236918;0,265016375948348;0,916848434118826;0,33419027201794;0,614794044129131;-0,221820709948021;0,547944692609445;0,111384550569561;0,385345058052697;0,0838195626623351;0,232613469943818;0,0267008249809918;0,154662317836974;0,00572526844079459;0,0648430171663854;0,000807031170121988;0,00273125345959241;0,000355555076008921;0,00216958240773413;8,9650479124514e-05;0,0010730063412141;0,00127645995106904;1,28867133217322;0,00211978360050857
"ato";-0,328855368405645;-1,3737193738213;1,47894230834699;-0,0273484825779381;-1,59774437115557;-0,610071464686105;-0,123345637181825;-0,515248670850337;0,554715230171343;-0,0102577495568533;-0,599274989699316;-0,228822943967684;0,0131575907765699;0,188269653524401;0,192411792093329;6,24577384309686e-05;0,190971805158487;0,0263471577231008;0,000138043850648925;0,00240881385130772;0,0027919630057467;9,54714816699226e-07;0,00325853046555808;0,000475082044919794;0,00127645995106904;1,34520989501418;0,0023098687309572
"deixar";0,0817249100334235;0,547135037586985;0,00904228027826073;-0,451642843698521;0,805078826874972;1,09727127305967;0,0531729888072898;0,355984548869991;0,00588321318226839;-0,293854099846086;0,523811496799462;0,713921778526286;0,00200489275610431;0,0736866940557468;1,77460168116814e-05;0,0420267486749044;0,119631958389129;0,210288782901289;1,20776870162227e-05;0,000541332277315211;1,47853223563514e-07;0,0003688630348356;0,00117206495023939;0,00217722286922602;0,00180831826401447;0,856410893011751;0,00132629225618297
"compromisso";0,808301046840921;0,821721208849962;0,0610701050983891;-1,02685435858081;-1,1933009981149;0,827239383048976;0,381247442702162;0,387577265565305;0,0288046409011955;-0,484331425483791;-0,562838506374939;0,390179996082581;0,0471677794231288;0,0399729237263318;0,000194679041105881;0,0522480555121838;0,0632102217421055;0,0287453364883962;0,000694979876953653;0,000718248851264593;3,96719257177777e-06;0,00112161458752942;0,00151469766205938;0,000727927876680407;0,00106371662589086;1,74631960894959;0,00324394444910311
"movimento";0,620977616963826;1,16369983689869;0,041528547816042;-1,27767143731118;0,0336325943423272;1,33550947258911;0,27340469789767;0,512355024817886;0,0182842340200409;-0,562534564512162;0,0148077950710009;0,58799955733988;0,0651809695294379;0,187701889267918;0,000210777926662402;0,189391540961537;0,000117564938007194;0,17541580189452;0,00049221980738654;0,00172857863256849;2,20140872295622e-06;0,00208374977349749;1,44386946349819e-06;0,0022766755256359;0,00127645995106904;1,14127116105234;0,00166258891145593
"gerar";0,177170949531485;0,0997520460171467;1,0582283714046;-0,521485457288009;-0,524522693319953;0,288812364630532;0,13236201742828;0,0745234028961493;0,790588087433968;-0,389594724014751;-0,391863801928805;0,215767806978626;0,0118115513715662;0,00307031769793083;0,304679640708394;0,0702359730007237;0,0636558967297758;0,0182624620557841;5,00843719145112e-05;1,58767216539841e-05;0,00178680026493826;0,000433911948988753;0,000438981048517633;0,000133091025364556;0,00159557493883629;0,76491353537112;0,000933559275492945
"segundo";0,967165700817812;-1,01540500932333;-0,57148306902749;-0,209598542709285;-0,00286833951071215;0,712431360694223;0,573448283931057;-0,602050155003529;-0,338841612096417;-0,124274387035703;-0,00170068517603415;0,422412148056239;0,114244003309984;0,103259024310747;0,0288403875591843;0,00368265843268559;6,17846951812282e-07;0,0360681229598491;0,00149251594432253;0,00164511328522323;0,000521103443546026;7,00960787775599e-05;1,31273878556203e-08;0,000809847532763465;0,00159557493883629;1,34263351748673;0,00287628671781534
"parabéns";-1,63869109235888;1,50408245369947;-0,0654275383090742;-1,13164577290884;-0,109534932776768;-0,270894751333751;-0,651946842729912;0,598393322247995;-0,0260300902513538;-0,450220845268981;-0,043578044651266;-0,107774417440639;0,428316274215306;0,295890794302434;0,000493689927064221;0,140198924891072;0,00117669481541927;0,00681047519537936;0,0074266589618748;0,00625666043141069;1,18391481756004e-05;0,00354176960311705;3,31821549791182e-05;0,000202955337071008;0,00276566322731624;1,17486538861104;0,00381746896237213
