"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"s";-0,0558;-0,2599;-0,1087;-0,1371;3,5061;-0,7204;-0,0692;-0,4233;-0,039;-0,2157;2,3617;-0,0681;-0,3108;-1,3384;-0,0011;-0,094;-0,0028;-0,3856
"droga";-0,0558;0,3465;-0,1087;-0,1371;-0,4954;5,8322;-0,0692;-0,4233;-0,039;0,4073;-0,837;-0,0681;-0,3108;-1,3384;-0,0011;0,7107;-0,0028;-0,3856
"câmara_dos_deputados";-0,0837;-0,3899;-0,1632;-0,2058;-0,2966;0,7105;0,6721;0,3819;-0,0585;-0,3237;1,4011;0,6784;-0,1426;-1,2105;-0,0017;-0,1411;-0,0042;-0,2012
"acabar";-0,0604;-0,2815;-0,1178;-0,1486;-0,1755;0,638;0,7996;-0,4586;-0,0422;-0,2337;0,2254;-0,0738;0,268;0,4726;-0,0012;-0,1019;-0,003;0,2092
"hediondo";-0,0558;-0,2599;-0,1087;1,4282;-0,4954;-0,2763;-0,0692;1,214;-0,039;-0,2157;1,0507;-0,0681;-0,3108;-0,3307;-0,0011;-0,094;-0,0028;-0,3856
"família";-0,1768;0,5515;-0,3448;1,7861;2,2359;-1,4615;-0,2196;-0,7164;2,5579;-0,6841;-0,4994;-0,216;-0,9857;1,158;-0,0035;-0,2982;-0,0088;-1,2227
"caso";-0,1862;-0,8675;-0,363;1,7107;-1,654;1,1889;-0,2311;0,7028;-0,1301;-0,2894;0,4187;-0,2274;2,7519;-0,7772;-0,0037;-0,3139;-0,0093;-1,2872
"prisão";-0,2936;-1,3681;-0,5724;0,6495;-2,6083;2,6915;-0,3645;-0,5761;-0,2052;-0,57;0,8792;-0,3586;4,2928;-0,9002;-0,0058;-0,495;1,4806;-0,7865
"junto";-0,0604;-0,2815;-0,1178;-0,1486;3,2718;-0,7805;4,7257;-0,4586;-0,0422;0,3807;-0,3927;-0,0738;-0,3368;-0,7679;-0,0012;-0,1019;-0,003;-0,4177
"luta";-0,1069;-0,4984;-0,2085;-0,263;-0,1851;-0,3819;-0,1328;-0,342;0,8011;-0,4137;-0,5008;0,5854;-0,5961;3,3537;-0,0021;-0,1803;-0,0053;-0,297
"oportunidade";-0,0697;0,2784;-0,1359;-0,1714;-0,2219;1,4559;-0,0866;-0,1731;-0,0487;-0,2697;0,4109;0,7494;-0,3886;-0,9412;-0,0014;-0,1176;-0,0035;0,537
"respeito";0,661;-0,4984;-0,2085;-0,263;3,9983;0,4627;-0,1328;0,2636;-0,0747;-0,4137;-0,9049;-0,1306;0,4116;-0,6965;-0,0021;0,4688;-0,0053;-0,7394
"então";-0,2328;-0,2528;0,559;0,4271;0,7874;0,3271;-0,2891;-0,6184;0,5052;-0,9008;0,7027;-0,2844;-0,6863;0,6465;-0,0046;-0,3926;-0,0116;-0,5256
"processo";-0,0883;-0,4116;-0,1722;0,405;-0,3227;2,8183;-0,1097;1,256;-0,0617;-0,3417;-0,6907;-0,1079;-0,156;-0,7922;-0,0018;-0,1489;-0,0044;-0,2196
"polícia";-0,079;0,7012;-0,1541;-0,1943;-0,2711;0,4215;-0,0981;0,4125;-0,0552;-0,3057;-0,2775;-0,0965;1,8407;-0,3553;-0,0016;-0,1332;-0,0039;-0,5464
"lado";-0,0651;2,4276;1,4847;-0,16;-0,1983;-0,8406;0,7702;-0,4939;-0,0455;-0,2517;-0,1838;-0,0795;-0,3627;0,4039;-0,0013;-0,1097;-0,0032;-0,4499
"viver";-0,079;0,2428;-0,1541;-0,1943;1,2114;-0,2068;-0,0981;0,4125;-0,0552;-0,3057;-1,1861;-0,0965;0,5885;-0,3553;-0,0016;-0,1332;-0,0039;0,9346
"líder";1,5108;-0,5635;-0,2358;-0,2973;5,1635;-1,5621;-0,1501;4,0254;-0,0845;-0,4678;-1,0714;-0,1477;-0,2588;-1,3385;-0,0024;-0,2039;-0,006;-0,836
"atender";-0,1209;0,4404;-0,2358;-0,2973;-1,0742;-1,5621;0,5342;-0,9179;-0,0845;-0,4678;4,6046;-0,1477;-0,674;0,9481;-0,0024;0,4264;-0,006;-0,836
"srs";0,6781;1,0524;-0,1995;-0,2515;-0,9088;-0,6913;0,5959;1,0595;-0,0715;-0,3957;0,66;-0,1249;-0,1983;0,2376;-0,002;-0,1725;-0,0051;-0,2771
"imunidade";-0,0604;-0,2815;-0,1178;4,9111;-0,5367;0,2886;-0,075;-0,1362;-0,0422;-0,2337;0,9429;-0,0738;0,268;-1,45;-0,0012;-0,1019;-0,003;-0,4177
"empresa";-0,093;-0,4333;-0,1813;-0,2287;-0,8261;-1,2012;-0,1154;-0,2753;-0,065;6,2555;-1,3956;-0,1136;-0,5183;-2,2318;-0,0018;-0,1568;-0,0046;7,6857
"aí";-0,0511;-0,2382;-0,0997;-0,1257;0,1881;0,3719;-0,0635;0,2286;-0,0357;1,1503;-0,3022;-0,0624;0,3178;0,3283;-0,001;-0,0862;-0,0025;-0,3534
"discutir";-0,0465;-0,2165;-0,0906;-0,1143;-0,4128;-0,6003;-0,0577;0,7439;-0,0325;0,4699;-0,6974;-0,0568;0,3476;1,922;-9e-04;-0,0784;-0,0023;-0,3213
"último";-0,0558;0,9476;-0,1087;-0,1371;-0,1535;-0,2763;-0,0692;0,621;-0,039;0,4073;-0,3467;-0,0681;-0,3108;0,5536;-0,0011;-0,094;-0,0028;-0,3856
"agora";-0,4012;-1,1346;-0,3308;-0,4665;-0,4853;1,6116;-0,1637;-1,5027;0,3227;-0,8833;7,754;-0,4901;-0,3578;-1,0174;-0,008;-0,6766;-0,02;-1,3035
"pronunciamento";-0,1582;0,3032;-0,3084;0,2279;-0,2018;-2,0437;0,4391;-1,2009;-0,1106;-0,612;3,1568;-0,1932;-0,8818;1,5352;-0,0031;0,3383;-0,0079;-1,0937
"juiz";-0,0511;-0,2382;-0,0997;-0,1257;-0,4541;2,9279;-0,0635;0,2286;-0,0357;-0,1978;-0,7672;-0,0624;0,3178;-1,2268;-0,001;-0,0862;-0,0025;1,4131
"defesa";-0,0558;0,3465;1,6125;-0,1371;-0,1535;-0,7204;-0,0692;0,621;-0,039;-0,2157;-0,837;-0,0681;1,543;-1,3384;-0,0011;2,9605;-0,0028;-0,3856
"pedir";2,6257;-0,2837;-0,4813;-0,2231;0,4589;0,2715;1,4876;0,4001;-0,1725;0,4387;-1,9847;1,5056;-1,376;-0,35;-0,0049;0,2101;-0,0123;0,487
"brazão";-0,1955;-0,911;-0,3812;-0,1535;-1,7368;1,077;-0,2427;1,8403;-0,1366;-0,7563;-0,6324;-0,2388;2,6101;-0,2903;-0,0039;-0,3296;-0,0097;0,2335
"transporte";-0,0558;1,7429;-0,1087;-0,1371;-0,4954;-0,2763;-0,0692;-0,4233;-0,039;2,9938;0,2597;-0,0681;-0,3108;-1,3384;-0,0011;-0,094;-0,0028;0,68
"chique";-0,1302;-0,6069;-0,2539;0,2826;-1,157;0,304;-0,1617;2,3256;-0,091;-0,5038;-0,4127;-0,1591;3,0697;-1,0304;-0,0026;-0,2196;-0,0065;0,4923
"sociedade";-0,0558;0,3465;-0,1087;0,5674;0,5262;-0,7204;-0,0692;-0,4233;2,4638;-0,2157;-0,3467;-0,0681;1,543;-0,3307;-0,0011;-0,094;-0,0028;-0,3856
"existir";-0,0651;0,2989;-0,1269;0,5112;-0,578;1,0192;-0,0808;-0,1543;-0,0455;0,3567;-0,9766;-0,0795;-0,3627;0,7154;-0,0013;-0,1097;-0,0032;0,1904
"moradia";-0,0744;-0,3466;-0,145;-0,1829;-0,6607;-0,9608;-0,0923;-0,5646;-0,052;-0,2877;-1,1162;-0,0908;-0,4145;10,3422;-0,0015;-0,1254;-0,0037;-0,5142
"reconhecer";-0,0465;1,0865;-0,0906;-0,1143;1,2605;0,424;-0,0577;-0,3527;-0,0325;-0,1798;-0,2592;-0,0568;-0,259;-0,2237;-9e-04;-0,0784;-0,0023;-0,3213
"decisão";-0,1815;0,2426;-0,3539;1,0984;-1,6125;0,635;-0,2254;1,1004;-0,1268;-0,7022;-0,3275;-0,2217;0,4039;0,2708;-0,0036;-0,306;-0,009;0,5208
"enfermagem";16,9217;-0,2165;-0,0906;-0,1143;-0,4128;-0,6003;-0,0577;-0,3527;-0,0325;-0,1798;-0,2592;-0,0568;-0,259;-1,1152;-9e-04;-0,0784;-0,0023;-0,3213
"ter";-0,331;-1,5425;0,7434;-0,814;-0,273;0,5152;-0,411;-0,4667;-0,2313;-0,3505;-0,2908;0,6289;-0,6719;3,3597;-0,0066;-0,5581;-0,0165;-0,9595
"governador";-0,0976;2,5486;-0,1904;-0,2401;-0,3764;0,2832;0,6134;-0,2971;-0,0682;-0,3777;-0,7966;-0,1193;-0,5442;1,5065;-0,0019;-0,1646;-0,0049;-0,6751
"vir";-0,2795;-0,6914;-0,1886;-0,6874;1,0474;-0,3171;1,3516;-1,3363;-0,1954;1,0221;-0,499;0,2641;-0,2681;-0,5762;-0,0056;-0,4714;-0,0139;2,5152
"obrigar";-0,1815;0,2426;0,2539;-0,4463;19,1883;-0,6186;-0,2254;-1,3779;-0,1268;-0,7022;0,2761;-0,2217;-1,0117;-4,357;-0,0036;-0,306;-0,009;-1,2549
"guarda";-0,0465;-0,2165;-0,0906;-0,1143;-0,4128;-0,6003;-0,0577;11,1054;-0,0325;-0,1798;-0,6974;-0,0568;-0,259;-1,1152;-9e-04;-0,0784;-0,0023;-0,3213
"levar";-0,0837;2,8719;-0,1632;-0,2058;0,3055;-1,081;-0,1039;0,3819;-0,0585;0,2795;-0,6389;-0,1022;-0,1426;0,6875;-0,0017;-0,1411;-0,0042;-0,5785
"projeto";5,5177;-0,6914;-0,5451;-0,6874;0,762;-1,9189;0,7273;-2,1223;-0,1954;1,4705;-0,3379;2,1236;-1,5583;-0,5762;-0,0056;1,0371;-0,0139;1,2114
"morte";-0,0558;-0,2599;-0,1087;-0,1371;-0,4954;0,711;-0,0692;0,2057;-0,039;0,4073;-0,3467;-0,0681;0,2914;0,5536;-0,0011;-0,094;-0,0028;0,2303
"voltar";-0,0558;0,3465;-0,1087;-0,1371;-0,1535;0,711;-0,0692;0,2057;1,0664;-0,2157;-0,3467;-0,0681;0,2914;0,2733;-0,0011;-0,094;-0,0028;-0,3856
"a";-0,0604;-0,2815;-0,1178;0,538;0,4783;-0,3138;-0,075;-0,4586;-0,0422;-0,2337;0,5208;-0,0738;-0,3368;0,8227;-0,0012;-0,1019;-0,003;0,2092
"dentro";-0,0558;-0,2599;-0,1087;-0,1371;-0,1535;0,711;-0,0692;0,2057;-0,039;-0,2157;-0,837;-0,0681;0,8227;0,9482;-0,0011;-0,094;-0,0028;-0,3856
"grande";0,3453;-0,6269;-0,5086;-0,2433;1,5632;-0,2495;0,7736;-0,7524;1,1866;-1,0092;0,5036;-0,3186;-1,4541;0,7416;-0,0052;-0,1334;-0,013;-0,3691
"fundamental";-0,0465;-0,2165;-0,0906;-0,1143;0,6424;-0,6003;-0,0577;0,2548;-0,0325;-0,1798;0,3473;-0,0568;0,3476;0,3951;-9e-04;-0,0784;-0,0023;0,2817
"mato_grosso";-0,0558;-0,2599;-0,1087;-0,1371;-0,4954;1,235;-0,0692;-0,4233;-0,039;-0,2157;2,3617;-0,0681;-0,3108;-1,3384;-0,0011;0,7107;-0,0028;0,2303
"papel";-0,0511;-0,2382;1,6858;-0,1257;-0,4541;0,3719;-0,0635;0,2286;1,1026;-0,1978;-0,7672;-0,0624;0,3178;-0,6012;-0,001;-0,0862;-0,0025;1,4131
"presidência";-0,0465;-0,2165;-0,0906;-0,1143;2,0451;-0,6003;-0,0577;2,2791;-0,0325;0,4699;-0,2592;-0,0568;-0,259;-1,1152;-9e-04;-0,0784;-0,0023;-0,3213
"supremo_tribunal_federal";-0,0883;-0,4116;1,2398;1,0659;-0,7847;-0,5589;-0,1097;1,8807;-0,0617;-0,3417;-0,3472;-0,1079;0,5203;-1,3023;-0,0018;-0,1489;-0,0044;1,3769
"bilhão";-0,1116;-0,5201;-0,2176;-0,2744;-0,9915;-0,4144;-0,1386;-0,8472;-0,078;0,2007;-0,5417;-0,1363;-0,6221;5,2997;-0,0022;-0,1882;-0,0056;0,6155
"ficar";-0,1535;0,3173;0,8302;-0,3775;1,5866;1,2652;-0,1906;-0,5856;-0,1073;-0,594;-0,5889;-0,1875;-0,8558;0,4909;-0,0031;-0,2589;-0,0076;-0,5123
"todo";0,5231;-0,4603;0,5025;0,4877;-1,5253;-0,3509;0,3715;-0,612;0,4101;0,3503;-0,388;0,6867;-1,3316;0,9452;-0,0168;1,8136;-0,042;0,3903
"prefeito";-0,1302;3,5265;-0,2539;0,2826;0,6103;0,8431;0,5074;-0,2039;-0,091;0,9887;-0,7138;-0,1591;-0,7259;-3,126;-0,0026;-0,2196;-0,0065;0,2196
"querer";0,319;-0,4044;-0,207;-1,0319;0,8579;-0,3811;-0,3933;0,89;0,5081;-0,2317;-0,368;0,2315;-2,923;0,962;-0,0141;1,7322;-0,0352;-1,1
"obra";-0,0465;-0,2165;-0,0906;0,6358;-0,4128;-0,2053;-0,0577;-0,3527;-0,0325;-0,1798;-0,6974;-0,0568;-0,259;-0,2237;-9e-04;-0,0784;-0,0023;4,6778
"aprovar";-0,093;-0,4333;-0,1813;-0,2287;0,5686;-0,6025;-0,1154;0,6963;-0,065;0,7135;-0,384;-0,1136;2,3209;-0,2889;-0,0018;-0,1568;-0,0046;-0,6429
"divulgar";-0,1535;-0,7154;-0,2994;0,236;-0,7304;-0,7386;0,4494;-0,5856;-0,1073;-0,594;3,3034;0,4551;-0,3737;0,7086;-0,0031;0,3477;-0,0076;-0,5123
"cada";-0,0744;0,7422;-0,145;-0,1829;-0,2462;-0,1815;2,9561;-0,1925;-0,052;-0,2877;-0,5375;-0,0908;0,6271;-0,5809;-0,0015;0,6007;2,0715;-0,5142
"nome";-0,0697;0,2784;0,5706;-0,1714;-0,6194;0,2259;-0,0866;-0,5292;-0,0487;0,3348;-0,2134;-0,0852;0,6692;0,9949;-0,0014;-0,1176;-0,0035;-0,482
"contra";-0,1209;-0,5635;-0,2358;0,8374;-0,5181;0,9625;-0,1501;-0,9179;0,7525;-0,1453;-1,0714;-0,1477;1,8175;-0,574;-0,0024;0,4264;-0,006;0,9592
"importância";-0,0511;0,3745;-0,0997;-0,1257;1,8807;-0,6603;-0,0635;-0,388;-0,0357;-0,1978;0,6657;-0,0624;-0,2849;-0,2754;-0,001;-0,0862;-0,0025;0,2543
"país";1,6665;0,5391;-0,5086;-0,6415;0,4004;-1,2391;0,2793;-0,7524;-0,1823;0,4006;-1,1738;1,4446;-0,4399;0,2917;-0,0052;0,5776;-0,013;2,2483
"parlamentar";1,3862;1,2235;0,3568;0,5418;-1,0079;3,6986;0,2097;-0,2968;-0,2346;-1,2987;0,9798;-0,41;-0,2252;-4,0779;-0,0067;-0,566;-0,0167;-0,3874
"organizado";-0,0651;-0,3032;-0,1269;-0,16;-0,578;0,2551;-0,0808;-0,4939;-0,0455;0,9658;-0,4399;-0,0795;-0,3627;0,4039;-0,0013;-0,1097;-0,0032;2,676
"voz_do_brasil";0,661;0,5106;-0,2085;0,3427;0,8248;0,2329;-0,1328;-0,8119;-0,0747;-0,4137;-1,6052;0,5854;-0,213;0,8928;-0,0021;0,4688;-0,0053;-0,297
"exa";-0,0558;-0,2599;-0,1087;-0,1371;3,5061;-0,7204;-0,0692;-0,4233;-0,039;-0,2157;2,3617;-0,0681;-0,3108;-1,3384;-0,0011;-0,094;-0,0028;-0,3856
"representante";-0,0558;0,9476;-0,1087;-0,1371;-0,1535;-0,7204;-0,0692;0,621;-0,039;-0,2157;0,2597;-0,0681;-0,3108;0,9482;-0,0011;-0,094;-0,0028;-0,3856
"porque";-0,3731;-1,7389;2,2174;-0,9176;0,3562;0,644;-0,4633;0,3631;0,3454;-0,4379;-1,4305;-0,4558;1,7809;1,5677;-0,0074;-0,6292;-0,0186;-1,723
"autista";-0,079;-0,3682;-0,1541;-0,1943;13,6323;-1,0209;-0,0981;-0,5999;-0,0552;-0,3057;-0,2775;-0,0965;-0,4405;-1,8967;-0,0016;-0,1332;-0,0039;-0,5464
"habitacional";-0,0558;5,0368;-0,1087;-0,1371;-0,4954;0,3272;-0,0692;-0,4233;-0,039;-0,2157;-0,837;-0,0681;-0,3108;0,5536;-0,0011;-0,094;-0,0028;-0,3856
"assumir";-0,0465;-0,2165;-0,0906;-0,1143;0,2122;0,424;-0,0577;0,7439;-0,0325;1,2259;-0,6974;-0,0568;-0,259;-0,2237;-9e-04;-0,0784;-0,0023;0,2817
"art";-0,0837;-0,3899;1,2823;-0,2058;-0,7434;3,004;-0,1039;1,332;-0,0585;0,2795;0,2906;-0,1022;-0,4664;-2,0084;-0,0017;-0,1411;-0,0042;-0,5785
"ser";0,3008;0,4505;9,341;-0,6555;-0,6445;4,8822;-0,1823;-0,8945;-0,1719;0,7286;-2,7009;-0,8982;-0,9928;-0,6562;-0,0146;-1,2399;-0,0366;-0,9203
"pagar";-0,079;-0,3682;-0,1541;2,0472;-0,702;2,4553;-0,0981;-0,5999;-0,0552;2,3817;-1,1861;-0,0965;0,1956;-1,1196;-0,0016;-0,1332;-0,0039;-0,1833
"parecer";-0,0837;0,2273;-0,1632;0,4232;-0,7434;-1,081;-0,1039;4,5463;-0,0585;-0,3237;-0,6389;-0,1022;1,0845;-0,7199;-0,0017;-0,1411;-0,0042;0,4308
"são_paulo";-0,1116;-0,5201;-0,2176;-0,2744;-0,4602;-0,4144;-0,1386;-0,8472;-0,078;5,5513;2,2697;-0,1363;-0,6221;-1,1763;-0,0022;0,4539;-0,0056;-0,3173
"considerar";-0,0697;-0,3249;-0,1359;0,4866;-0,6194;0,2259;-0,0866;3,2239;-0,0487;-0,2697;1,229;-0,0852;-0,3886;-0,9412;-0,0014;-0,1176;-0,0035;-0,482
"dizer";-0,42;-0,4478;-0,3543;-0,2329;0,9505;2,0164;-0,5215;-0,5423;-0,2935;-0,9401;-1,8449;0,4862;1,4612;-0,2824;-0,0084;-0,7082;-0,0209;0,5073
"pessoa";1,02;-0,5171;-0,1357;-0,5611;0,3365;-0,6489;-0,2833;-0,5967;7,2034;-0,394;-0,4026;-0,2787;-0,667;0,5133;-0,0045;0,6614;-0,0114;0,3318
"criar";-0,0604;-0,2815;-0,1178;-0,1486;-0,1755;-0,3138;0,7996;-0,1362;-0,0422;-0,2337;-0,3927;-0,0738;-0,3368;1,8523;-0,0012;0,6797;-0,003;-0,4177
"chegar";-0,093;-0,4333;-0,1813;-0,2287;-0,8261;0,9772;-0,1154;-0,7058;-0,065;-0,3597;0,7849;-0,1136;0,49;0,5384;-0,0018;0,5185;-0,0046;-0,2384
"judicial";-0,0558;-0,2599;1,6125;1,4282;-0,4954;-0,2763;-0,0692;0,621;5,8748;-0,2157;-0,837;-0,0681;-0,3108;-0,6836;-0,0011;-0,094;-0,0028;-0,3856
"direito";-0,1256;-0,5852;0,3656;-0,3088;-0,5475;1,2954;-0,1559;-0,189;-0,0878;-0,4858;-0,6696;-0,1534;0,3292;1,5717;-0,0025;-0,2117;-0,0062;-0,3799
"real";-0,093;-0,4333;-0,1813;-0,2287;-0,8261;-0,6025;-0,1154;-0,7058;-0,065;2,1146;-0,7433;-0,1136;-0,5183;3,4579;-0,0018;-0,1568;-0,0046;0,3743
"saúde";-0,0837;0,2273;-0,1632;-0,2058;0,6581;-1,081;-0,1039;-0,6352;-0,0585;2,2865;-1,2559;-0,1022;-0,4664;2,0021;-0,0017;-0,1411;-0,0042;-0,2012
"apenas";-0,0604;0,8887;-0,1178;0,538;-0,5367;-0,3138;-0,075;0,5699;-0,0422;1,0214;-0,3927;-0,0738;0,268;-0,3891;-0,0012;0,6797;-0,003;-0,4177
"tanto";-0,0604;-0,2815;-0,1178;-0,1486;-0,5367;-0,7805;-0,075;-0,1362;-0,0422;1,0214;-0,3927;0,8061;0,268;0,8227;-0,0012;-0,1019;-0,003;0,6271
"apresentar";7,6809;2,8719;-0,1632;0,4232;0,3055;-0,5161;-0,1039;-0,6352;-0,0585;0,2795;-0,6389;-0,1022;-0,4664;-1,2105;-0,0017;-0,1411;-0,0042;-0,5785
"ocorrer";-0,0697;0,2784;-0,1359;-0,1714;-0,6194;0,2259;-0,0866;-0,1731;-0,0487;-0,2697;-0,4882;-0,0852;0,2282;0,9949;-0,0014;-0,1176;-0,0035;1,064
"tomar";-0,0511;-0,2382;-0,0997;0,5998;0,1881;-0,6603;-0,0635;0,6785;-0,0357;-0,1978;-0,3022;-0,0624;0,3178;0,65;-0,001;-0,0862;-0,0025;0,2543
"marielle";-0,1442;-0,672;-0,2812;0,7172;-1,2812;0,2363;-0,179;-0,5348;-0,1008;-0,5579;-1,3572;-0,1761;7,1936;1,1428;-0,0029;-0,2432;-0,0072;-0,9971
"entidade";-0,1209;0,4404;-0,2358;-0,2973;-1,0742;-1,5621;-0,1501;-0,9179;-0,0845;-0,4678;-1,8149;-0,1477;-0,674;13,2274;-0,0024;-0,2039;-0,006;-0,836
"trabalho";-0,1955;-0,1771;-0,3812;-0,1535;1,4872;-1,1054;0,3684;1,3781;-0,1366;0,2904;-0,2464;3,7068;-1,0897;-0,8831;-0,0039;0,7631;-0,0097;-1,3517
"economia";-0,0465;1,0865;-0,0906;-0,1143;-0,4128;0,8913;-0,0577;-0,3527;-0,0325;-0,1798;0,3473;-0,0568;-0,259;-0,5209;-9e-04;-0,0784;-0,0023;0,8065
"permitir";-0,0465;-0,2165;-0,0906;-0,1143;2,0451;-0,6003;0,9052;0,7439;-0,0325;-0,1798;-0,6974;-0,0568;0,9565;-1,1152;-9e-04;-0,0784;-0,0023;0,2817
"aquele";-0,0837;-0,3899;-0,1632;-0,2058;-0,2966;-0,2334;-0,1039;-0,2329;-0,0585;-0,3237;-0,6389;-0,1022;-0,1426;3,3026;-0,0017;-0,1411;-0,0042;-0,2012
"aquela";-0,0511;-0,2382;-0,0997;-0,1257;0,1881;0,3719;0,8666;-0,388;-0,0357;-0,1978;0,2999;0,8732;-0,2849;0,3283;-0,001;-0,0862;-0,0025;0,2543
"exemplo";-0,0651;-0,3032;-0,1269;-0,16;-0,1983;1,0192;-0,0808;-0,4939;-0,0455;-0,2517;-0,1838;0,7767;-0,3627;1,128;-0,0013;-0,1097;-0,0032;-0,4499
"br";-0,0511;-0,2382;-0,0997;-0,1257;-0,4541;-0,2401;-0,0635;-0,388;-0,0357;-0,1978;-0,7672;-0,0624;-0,2849;-1,2268;-0,001;-0,0862;-0,0025;10,4855
"agradecer";-0,0558;-0,2599;-0,1087;-0,1371;0,5262;-0,2763;-0,0692;0,2057;1,0664;-0,2157;-0,837;0,8382;-0,3108;0,5536;-0,0011;0,7107;-0,0028;0,2303
"poder";0,4904;-1,0238;1,6002;-0,6568;-0,3304;-0,3476;-0,2388;1,0912;-0,3559;1,1274;-1,0045;-0,2328;0,7469;-1,3457;-0,0101;-0,8586;-0,0253;2,3629
"votar";-0,2749;-0,349;0,9137;0,3416;-1,0597;3,0359;-0,3413;3,3043;-0,1921;-0,5183;-3,0715;0,7494;-0,2578;-1,228;-0,0055;-0,4635;1,5087;-0,2311
"infelizmente";-0,0837;1,2669;-0,1632;2,9927;-0,7434;-0,5161;-0,1039;1,332;-0,0585;0,2795;-0,6389;-0,1022;-0,4664;-0,4066;-0,0017;-0,1411;-0,0042;-0,2012
"governo";-0,2795;0,4769;-0,5451;0,3334;-0,4489;-1,4005;-0,3471;-2,1223;-0,1954;-0,2527;-3,135;-0,3415;-1,5583;4,9867;-0,0056;3,1732;-0,0139;1,5982
"lembrar";-0,0697;-0,3249;-0,1359;-0,1714;0,8268;-0,392;-0,0866;-0,5292;0,9742;-0,2697;1,8002;-0,0852;-0,3886;0,3454;-0,0014;-0,1176;-0,0035;-0,482
"cadeia";-0,0465;0,406;-0,0906;-0,1143;-0,4128;0,424;0,9052;-0,3527;-0,0325;-0,1798;0,7563;-0,0568;-0,259;-1,1152;-9e-04;-0,0784;-0,0023;1,5283
"imprensa";-0,0465;-0,2165;6,0842;-0,1143;-0,4128;-0,6003;-0,0577;-0,3527;-0,0325;-0,1798;-0,2592;-0,0568;0,3476;0,3951;-9e-04;-0,0784;-0,0023;-0,3213
"assassinato";-0,0558;-0,2599;-0,1087;-0,1371;-0,4954;0,3272;-0,0692;0,2057;-0,039;-0,2157;-0,3467;-0,0681;0,8227;1,4605;-0,0011;-0,094;-0,0028;-0,3856
"conselho";-0,0976;-0,455;-0,1904;-0,2401;-0,8674;0,5483;-0,1212;-0,2971;0,8374;2,8977;-0,7966;-0,1193;-0,5442;0,4764;-0,0019;0,501;-0,0049;0,3493
"representar";-0,1302;0,4002;-0,2539;-0,3202;4,7933;-0,9697;-0,1617;1,7254;-0,091;-0,1641;0,96;-0,1591;-0,7259;-3,126;-0,0026;-0,2196;-0,0065;-0,9004
"relação";-0,0697;-0,3249;-0,1359;-0,1714;-0,6194;-0,9007;-0,0866;-0,5292;-0,0487;-0,2697;-0,4882;-0,0852;-0,3886;2,0308;-0,0014;3,9387;-0,0035;0,537
"manter";-0,0744;-0,3466;-0,145;0,4639;-0,6607;0,4665;0,7178;-0,1925;-0,052;-0,2877;-0,5375;-0,0908;0,6271;0,5429;-0,0015;-0,1254;-0,0037;0,4983
"nenhum";-0,0837;0,2273;-0,1632;-0,2058;-0,7434;1,6704;-0,1039;-0,6352;-0,0585;0,2795;-0,6389;-0,1022;-0,4664;0,4127;-0,0017;-0,1411;-0,0042;1,4551
"responsabilidade";-0,0465;-0,2165;-0,0906;-0,1143;0,6424;-0,6003;-0,0577;0,2548;-0,0325;-0,1798;-0,6974;-0,0568;0,9565;-1,1152;-9e-04;-0,0784;-0,0023;3,4717
"votação";-0,1069;-0,4984;-0,2085;-0,263;-0,9501;-0,3819;-0,1328;11,2467;-0,0747;-0,4137;-1,6052;-0,1306;0,4116;-0,6965;-0,0021;-0,1803;-0,0053;-0,297
"operação";-0,0511;-0,2382;-0,0997;-0,1257;0,1881;-0,6603;-0,0635;0,6785;-0,0357;1,1503;-0,7672;-0,0624;-0,2849;-1,2268;-0,001;-0,0862;-0,0025;4,3624
"entender";-0,0976;-0,455;-0,1904;-0,2401;-0,3764;1,3505;-0,1212;-0,7412;-0,0682;0,6811;1,1032;-0,1193;1,5195;-1,4885;-0,0019;-0,1646;-0,0049;-0,2576
"constituição";-0,1629;-0,7589;3,1565;-0,4005;-1,4468;9,1739;-0,2022;-0,3196;-0,1138;-0,63;-0,665;-0,1989;-0,1741;-1,55;-0,0032;-0,2746;-0,0081;-1,126
"defender";0,7564;-0,3899;1,2823;-0,2058;-0,7434;0,7105;1,6382;-0,2329;0,8997;0,2795;-0,6389;-0,1022;-0,4664;-0,2123;-0,0017;-0,1411;-0,0042;-0,2012
"público";-0,331;0,5811;-0,2462;-0,814;-1,4198;-0,7622;-0,411;-0,7322;-0,2313;2,1119;-2,3682;-0,4043;-1,1131;-0,4749;-0,0066;15,7239;-0,0165;1,5502
"lei";0,4025;-0,4865;0,5969;-0,5381;-0,7254;5,6677;0,3325;-0,3049;-0,1529;0,2414;-1,1736;0,3376;-1,2198;-0,3068;-0,0044;0,2423;-0,0109;-0,8478
"claro";-0,0883;0,213;2,1824;-0,2172;-0,7847;1,0558;-0,1097;-0,2539;-0,0617;0,2638;-0,6907;-0,1079;-0,156;-0,4603;-0,0018;-0,1489;-0,0044;0,8255
