"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"ainda";-0,1163;-0,1837;-0,2267;3,4061;0,3999;-0,4477;0,5486;0,5103;0,7679;-0,4498;0,2845;-0,142;0,3677;-0,8256;-0,0023;-0,196;-0,0058;-0,8038
"o";-0,1163;-0,5418;-0,2267;-0,2859;-1,0329;-1,502;-0,1443;-0,8826;-0,0813;-0,4498;20,8029;-0,142;-0,648;-2,7906;-0,0023;-0,196;-0,0058;-0,8038
"algo";-0,0651;-0,3032;-0,1269;2,2937;-0,578;-0,8406;-0,0808;-0,4939;-0,0455;0,3567;-0,4399;0,7767;0,2471;0,4039;-0,0013;-0,1097;-0,0032;1,1382
"jaboatão";-0,0465;-0,2165;-0,0906;-0,1143;-0,4128;-0,6003;-0,0577;11,1054;-0,0325;-0,1798;-0,6974;-0,0568;-0,259;-1,1152;-9e-04;-0,0784;-0,0023;-0,3213
"civil";-0,0465;-0,2165;-0,0906;-0,1143;-0,4128;-0,2053;-0,0577;-0,3527;-0,0325;-0,1798;0,7563;-0,0568;2,7546;-0,5209;-9e-04;0,7823;-0,0023;-0,3213
"questão";-0,0837;0,6634;-0,1632;-0,2058;-0,2966;-0,2334;0,6721;-0,6352;-0,0585;-0,3237;-0,3117;-0,1022;1,0845;1,0431;-0,0017;-0,1411;-0,0042;-0,5785
"tribuna";0,3569;0,3079;-0,4904;-0,6185;4,8534;-1,6386;-0,3123;-0,232;-0,1758;-0,2044;1,638;0,8095;-0,4112;-3,149;-0,005;0,2052;-0,0125;0,265
"anderson";-0,0465;-0,2165;-0,0906;1,5798;-0,4128;-0,6003;-0,0577;-0,3527;-0,0325;-0,1798;-0,2592;-0,0568;2,7546;0,3951;-9e-04;-0,0784;-0,0023;-0,3213
"gostar";1,8142;-0,3899;0,5042;1,107;-0,7434;0,3812;-0,1039;-0,6352;-0,0585;-0,3237;-0,3117;-0,1022;-0,4664;-0,2123;-0,0017;0,5569;-0,0042;0,8778
"seguir";-0,0651;-0,3032;-0,1269;0,5112;-0,578;0,5738;-0,0808;-0,4939;-0,0455;0,9658;-0,1838;0,7767;2,1569;-0,8538;-0,0013;-0,1097;-0,0032;-0,4499
"minha_casa_minha_vida";-0,1442;3,2349;-0,2812;-0,3546;-1,2812;-1,8631;-0,179;-1,0947;-0,1008;-0,5579;-2,1646;-0,1761;-0,8038;9,8453;-0,0029;-0,2432;-0,0072;-0,9971
"devido";-0,0465;-0,2165;1,7671;-0,1143;-0,4128;3,2202;0,9052;-0,3527;-0,0325;-0,1798;-0,6974;-0,0568;-0,259;-0,5209;-9e-04;-0,0784;-0,0023;-0,3213
"cumprir";-0,0511;-0,2382;0,6881;-0,1257;-0,4541;1,3657;-0,0635;-0,388;1,1026;-0,1978;-0,7672;-0,0624;-0,2849;0,65;-0,001;-0,0862;-0,0025;0,2543
"inclusive";-0,1349;-0,6286;0,3427;0,762;-0,6073;-1,0175;-0,1675;0,4018;0,7097;-0,5219;-0,2473;0,5007;-0,3068;2,6795;-0,0027;-0,2274;-0,0067;-0,9326
"liberar";-0,0511;0,3745;-0,0997;-0,1257;-0,4541;0,7947;5,0526;-0,388;-0,0357;-0,1978;0,2999;-0,0624;-0,2849;-0,6012;-0,001;-0,0862;-0,0025;-0,3534
"tarde";-0,0651;0,2989;0,5963;-0,16;-0,1983;-0,8406;-0,0808;-0,1543;-0,0455;0,9658;-0,1838;0,7767;0,2471;-0,4505;-0,0013;0,6512;-0,0032;0,1904
"continuar";-0,1349;0,3817;-0,263;0,2724;-1,1984;-0,3237;-0,1675;0,4018;0,7097;0,9539;-0,2473;0,5007;0,6304;0,3054;-0,0027;-0,2274;-0,0067;-0,4231
"mostrar";-0,0744;-0,3466;-0,145;-0,1829;-0,2462;0,8484;-0,0923;-0,5646;-0,052;0,3148;0,3657;-0,0908;0,2111;0,5429;-0,0015;-0,1254;-0,0037;-0,1659
"apoio";0,8865;0,3214;-0,1178;0,538;-0,1755;-0,3138;-0,075;-0,4586;-0,0422;-0,2337;-0,9068;-0,0738;-0,3368;2,5393;-0,0012;-0,1019;-0,003;-0,4177
"menos";-0,0604;0,8887;-0,1178;0,538;0,4783;-0,7805;-0,075;-0,4586;-0,0422;0,3807;-0,9068;0,8061;0,7663;0,2278;-0,0012;-0,1019;-0,003;0,2092
"zona";-0,0465;-0,2165;-0,0906;-0,1143;-0,4128;3,2202;-0,0577;-0,3527;-0,0325;0,4699;-0,6974;-0,0568;-0,259;-0,2237;-9e-04;-0,0784;-0,0023;0,2817
"ver";-0,1955;0,4752;0,6681;-0,4807;-0,596;-0,7189;-0,2427;0,3803;-0,1366;0,6172;0,5558;-0,2388;0,3548;-0,2903;-0,0039;-0,3296;-0,0097;0,7526
"vez";-0,1768;0,2536;0,2613;-0,4349;-0,2643;0,966;1,0494;-0,7164;-0,1236;-0,6841;0,7161;-0,216;-0,2066;0,2998;-0,0035;0,3039;-0,0088;-0,6285
"preciso";-0,0837;-0,3899;-0,1632;0,4232;0,6581;0,3812;-0,1039;0,3819;-0,0585;0,2795;-1,2559;-0,1022;1,0845;-0,2123;-0,0017;-0,1411;-0,0042;-0,2012
"quase";-0,0465;-0,2165;-0,0906;-0,1143;-0,4128;-0,6003;-0,0577;-0,3527;-0,0325;1,2259;-0,6974;-0,0568;-0,259;1,922;-9e-04;-0,0784;-0,0023;0,8065
"minuto";-0,2468;-1,1503;-0,4813;-0,2231;6,3631;-1,1214;-0,3065;4,4313;-0,1725;-0,955;1,7068;-0,3015;-0,7451;-3,7919;-0,0049;-0,4162;-0,0123;-1,7067
"polícia_federal";-0,0558;-0,2599;-0,1087;0,5674;-0,4954;-0,7204;-0,0692;-0,4233;-0,039;-0,2157;-0,3467;-0,0681;0,8227;1,4605;-0,0011;-0,094;-0,0028;0,68
"dia";-0,2235;-0,5017;0,1983;-0,1906;-1,2214;0,5618;0,3259;0,7749;-0,1562;-0,8646;-0,5779;0,331;0,5209;0,3961;-0,0044;0,6747;-0,0111;0,5931
"bahia";-0,0837;0,6634;-0,1632;0,4232;-0,7434;-1,081;-0,1039;-0,6352;-0,0585;-0,3237;1,9574;-0,1022;-0,4664;-0,7199;-0,0017;-0,1411;-0,0042;2,9462
"situação";-0,0697;0,7867;0,5706;-0,1714;0,3979;0,2259;-0,0866;0,4831;-0,0487;0,3348;-1,0464;-0,0852;0,2282;-0,5145;-0,0014;-0,1176;-0,0035;0,537
"inafiançável";-0,0511;-0,2382;-0,0997;-0,1257;-0,4541;2,9279;-0,0635;0,2286;-0,0357;-0,1978;0,2999;-0,0624;-0,2849;-0,2754;-0,001;-0,0862;-0,0025;-0,3534
"bom";-0,1163;-0,5418;-0,2267;0,3167;2,2601;0,391;-0,1443;0,2283;-0,0813;0,57;-0,3182;-0,142;-0,648;-0,312;-0,0023;-0,196;-0,0058;-0,3379
"aprovação";-0,0511;-0,2382;-0,0997;-0,1257;0,1881;-0,6603;-0,0635;2,1102;-0,0357;1,1503;-0,7672;3,4867;-0,2849;-0,6012;-0,001;-0,0862;-0,0025;-0,3534
