"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"voz_do_brasil";10;4,38;0;4,1;4,69;2,47;0;0;0;0;0;8,2;1,84;3,76;0;5,95;0;1,49
"exa";0;0;0;0;7,04;0;0;0;0;0;4,3;0;0;0;0;0;0;0
"representante";0;4,38;0;0;1,17;0;0;2,73;0;0;1,43;0;0;2,35;0;0;0;0
"porque";0;0;30,93;0;9,39;10,72;0;9,55;14,29;5,25;4,3;0;18,38;12,22;0;0;0;1,49
"autista";0;0;0;0;17,61;0;0;0;0;0;1,43;0;0;0;0;0;0;0
"habitacional";0;13,13;0;0;0;1,65;0;0;0;0;0;0;0;1,88;0;0;0;0
"assumir";0;0;0;0;1,17;1,65;0;2,73;0;5,25;0;0;0;0,94;0;0;0;1,49
"art";0;0;10,31;0;0;6,6;0;5,46;0;2,62;2,15;0;0;0;0;0;0;0
"ser";20;19,69;97,94;8,2;12,91;32,98;16,13;10,91;14,29;23,62;7,89;0;9,19;14,57;0;0;0;10,45
"pagar";0;0;0;12,3;0;5,77;0;0;0;10,5;0;0;1,84;0,47;0;0;0;1,49
"parecer";0;2,19;0;4,1;0;0;0;10,91;0;0;0,72;0;5,51;0,94;0;0;0;2,99
"são_paulo";0;0;0;0;1,17;1,65;0;0;0;21;6,46;0;0;0,94;0;5,95;0;1,49
"considerar";0;0;0;4,1;0;1,65;0;8,19;0;0;3,59;0;0;0,47;0;0;0;0
"dizer";0;6,56;5,15;8,2;14,08;16,49;0;6,82;0;2,62;4,3;16,39;18,38;9,4;0;0;0;11,94
"pessoa";20;2,19;5,15;0;5,87;3,3;0;2,73;100;2,62;4,3;0;1,84;6,11;0;11,9;0;5,97
"criar";0;0;0;0;1,17;0,82;8,06;1,36;0;0;0,72;0;0;3,29;0;5,95;0;0
"chegar";0;0;0;0;0;4,12;0;0;0;0;3,59;0;3,68;2,82;0;5,95;0;1,49
"judicial";0;0;10,31;8,2;0;0,82;0;2,73;57,14;0;0;0;0;0,47;0;0;0;0
"direito";0;0;5,15;0;1,17;5,77;0;2,73;0;0;1,43;0;3,68;5,17;0;0;0;1,49
"real";0;0;0;0;0;0,82;0;0;0;10,5;0,72;0;0;5,64;0;0;0;2,99
"saúde";0;2,19;0;0;3,52;0;0;0;0;10,5;0;0;0;4,23;0;0;0;1,49
"apenas";0;4,38;0;4,1;0;0,82;0;2,73;0;5,25;0,72;0;1,84;0,94;0;5,95;0;0
"tanto";0;0;0;0;0;0;0;1,36;0;5,25;0,72;8,2;1,84;2,35;0;0;0;2,99
"apresentar";60;10,94;0;4,1;2,35;0,82;0;0;0;2,62;0,72;0;0;0,47;0;0;0;0
"ocorrer";0;2,19;0;0;0;1,65;0;1,36;0;0;0,72;0;1,84;2,82;0;0;0;4,48
"tomar";0;0;0;4,1;1,17;0;0;2,73;0;0;0,72;0;1,84;1,88;0;0;0;1,49
"marielle";0;0;0;8,2;0;3,3;0;1,36;0;0;0,72;0;22,06;5,17;0;0;0;0
"entidade";0;4,38;0;0;0;0;0;0;0;0;0;0;0;11,28;0;0;0;0
"trabalho";0;4,38;0;4,1;9,39;1,65;8,06;9,55;0;5,25;4,3;40,98;0;2,82;0;11,9;0;0
"economia";0;4,38;0;0;0;2,47;0;0;0;0;1,43;0;0;0,47;0;0;0;2,99
"permitir";0;0;0;0;4,69;0;8,06;2,73;0;0;0;0;3,68;0;0;0;0;1,49
"aquele";0;0;0;0;1,17;1,65;0;1,36;0;0;0,72;0;1,84;5,17;0;0;0;1,49
"aquela";0;0;0;0;1,17;1,65;8,06;0;0;0;1,43;8,2;0;1,41;0;0;0;1,49
"exemplo";0;0;0;0;1,17;3,3;0;0;0;0;1,43;8,2;0;2,82;0;0;0;0
"br";0;0;0;0;0;0,82;0;0;0;0;0;0;0;0;0;0;0;14,93
"agradecer";0;0;0;0;2,35;0,82;0;1,36;14,29;0;0;8,2;0;1,88;0;5,95;0;1,49
"poder";20;4,38;30,93;4,1;10,56;10,72;8,06;17,74;0;21;7,89;8,2;16,54;7,99;0;0;0;23,88
"votar";0;4,38;15,46;8,2;2,35;14,01;0;17,74;0;2,62;0,72;16,39;5,51;3,76;0;0;200;5,97
"infelizmente";0;6,56;0;16,39;0;0,82;0;5,46;0;2,62;0,72;0;0;1,41;0;0;0;1,49
"governo";0;8,75;0;8,2;4,69;2,47;0;0;0;5,25;0,72;0;0;13,63;0;35,71;0;13,43
"lembrar";0;0;0;0;3,52;0,82;0;0;14,29;0;4,3;0;0;1,88;0;0;0;0
"cadeia";0;2,19;0;0;0;1,65;8,06;0;0;0;2,15;0;0;0;0;0;0;4,48
"imprensa";0;0;25,77;0;0;0;0;0;0;0;0,72;0;1,84;1,41;0;0;0;0
"assassinato";0;0;0;0;0;1,65;0;1,36;0;0;0,72;0;3,68;2,82;0;0;0;0
"conselho";0;0;0;0;0;3,3;0;1,36;14,29;13,12;0,72;0;0;2,82;0;5,95;0;2,99
"representar";0;4,38;0;0;12,91;0,82;0;8,19;0;2,62;5,02;0;0;0;0;0;0;0
"relação";0;0;0;0;0;0;0;0;0;0;0,72;0;0;3,76;0;23,81;0;2,99
"manter";0;0;0;4,1;0;2,47;8,06;1,36;0;0;0,72;0;3,68;2,35;0;0;0;2,99
"nenhum";0;2,19;0;0;0;4,95;0;0;0;2,62;0,72;0;0;2,35;0;0;0;5,97
"responsabilidade";0;0;0;0;2,35;0;0;1,36;0;0;0;0;3,68;0;0;0;0;7,46
"votação";0;0;0;0;0;1,65;0;20,46;0;0;0;0;3,68;1,41;0;0;0;1,49
"operação";0;0;0;0;1,17;0;0;2,73;0;5,25;0;0;0;0;0;0;0;8,96
"entender";0;0;0;0;1,17;4,95;0;0;0;5,25;4,3;0;7,35;0,47;0;0;0;1,49
"constituição";0;0;25,77;0;0;16,49;0;2,73;0;0;2,15;0;3,68;1,41;0;0;0;0
"defender";10;0;10,31;0;0;3,3;16,13;1,36;14,29;2,62;0,72;0;0;1,88;0;0;0;1,49
"público";0;10,94;5,15;0;2,35;4,95;0;4,09;0;21;2,15;0;1,84;6,58;0;107,14;0;14,93
"lei";10;2,19;10,31;0;2,35;15,66;8,06;4,09;0;5,25;2,15;8,2;0;4,7;0;5,95;0;1,49
"claro";0;2,19;15,46;0;0;4,12;0;1,36;0;2,62;0,72;0;1,84;1,41;0;0;0;4,48
"meio";0;4,38;0;4,1;3,52;0,82;16,13;2,73;0;2,62;0,72;0;0;4,23;0;0;0;5,97
"querido";0;0;5,15;0;3,52;2,47;0;0;0;0;5,02;0;0;0;0;0;0;1,49
"animal";0;0;0;0;0;0;0;0;0;0;0;0;0;6,11;0;0;0;0
"sim";0;2,19;5,15;16,39;1,17;0,82;0;6,82;0;5,25;2,15;0;9,19;2,35;500;0;0;4,48
"especial";0;4,38;0;0;4,69;1,65;0;0;0;0;0,72;16,39;0;0,47;0;0;0;2,99
"de";60;19,69;5,15;20,49;5,87;9,07;8,06;15,01;28,57;26,25;19,37;32,79;20,22;16,92;0;5,95;0;16,42
"sessão";0;2,19;0;0;1,17;0;0;10,91;0;0;2,87;0;0;0,47;0;0;0;0
"dever";0;0;10,31;8,2;1,17;3,3;0;4,09;0;5,25;1,43;0;11,03;1,41;0;0;0;4,48
"dar";0;4,38;25,77;12,3;7,04;4,12;0;6,82;0;2,62;4,3;24,59;3,68;8,46;0;5,95;0;5,97
"mandato";0;0;5,15;0;9,39;2,47;24,19;0;0;0;2,87;0;0;1,88;0;0;0;0
"importante";10;6,56;0;20,49;7,04;2,47;24,19;1,36;0;15,75;6,46;8,2;14,71;8,46;0;11,9;0;7,46
"senhor";0;6,56;0;0;1,17;3,3;0;5,46;0;0;2,87;0;0;0;0;0;0;7,46
"agricultura";0;2,19;0;0;0;0;8,06;2,73;0;13,12;0,72;0;0;0,47;0;0;0;0
"orientar";0;0;0;0;0;0,82;0;15,01;0;0;0;0;1,84;0;500;0;0;0
"tempo";0;2,19;0;0;5,87;4,95;0;8,19;42,86;2,62;1,43;8,2;12,87;1,41;0;0;0;1,49
"atenção";0;6,56;0;4,1;0;1,65;0;4,09;0;0;0;0;3,68;1,88;0;0;0;2,99
"próximo";0;2,19;0;0;15,26;1,65;8,06;0;0;0;0,72;0;1,84;0,94;0;0;0;5,97
"legislativo";0;2,19;0;0;1,17;0,82;16,13;2,73;0;0;0,72;8,2;3,68;0;0;0;0;2,99
"haver";0;0;0;0;0;6,6;0;5,46;0;2,62;3,59;0;0;2,82;0;0;0;2,99
"vereador";0;2,19;0;4,1;4,69;4,12;16,13;1,36;0;0;2,87;0;1,84;0,47;0;0;0;0
"respeitar";0;0;5,15;0;0;9,07;0;0;0;0;0;0;1,84;0,47;0;0;0;0
"bem";0;4,38;5,15;4,1;16,43;4,12;0;2,73;0;0;5,02;8,2;1,84;3,29;0;0;0;1,49
"parabenizar";0;0;0;0;0;0;0;0;0;0;1,43;16,39;0;3,76;0;11,9;0;1,49
"milícia";0;0;0;0;0;0,82;0;0;0;0;0,72;0;18,38;2,35;0;0;0;0
"mil";0;4,38;0;8,2;0;0;8,06;1,36;0;10,5;1,43;0;0;8,93;0;0;0;1,49
"milhão";0;2,19;0;0;0;2,47;0;0;0;5,25;0,72;0;0;0,94;0;0;0;2,99
"servidor";0;0;0;0;3,52;1,65;0;1,36;0;0;0;0;0;7,05;0;59,52;0;1,49
"serviço";10;2,19;0;0;3,52;0;0;0;0;2,62;0,72;0;0;4,23;0;17,86;0;2,99
"alguma";0;2,19;0;0;0;0,82;8,06;1,36;0;0;0,72;0;0;2,35;0;0;0;0
"ninguém";0;0;0;4,1;2,35;3,3;0;1,36;14,29;0;2,15;0;0;0;0;0;0;0
"democracia";0;0;51,55;0;0;2,47;0;0;0;0;0,72;0;9,19;1,41;0;0;0;0
"passo";0;0;0;4,1;1,17;0;0;2,73;0;0;2,15;8,2;1,84;0,94;0;0;0;0
"debate";0;0;0;4,1;2,35;0;0;0;0;0;2,15;0;14,71;1,88;0;0;0;0
"minas_gerais";0;4,38;0;0;1,17;0;0;0;0;0;8,61;0;0;1,41;0;0;0;0
"pedido";0;0;0;4,1;1,17;0;0;1,36;0;5,25;10,04;0;0;0,47;0;0;0;0
"favor";0;0;0;4,1;4,69;0,82;0;4,09;28,57;0;2,15;0;0;0,94;0;0;0;2,99
"frente";0;0;0;0;1,17;2,47;0;2,73;0;0;1,43;0;0;0,47;0;5,95;0;0
"trabalhar";0;2,19;0;0;2,35;0;24,19;0;0;0;2,15;0;1,84;0;0;0;0;2,99
"conseguir";0;2,19;0;0;0;1,65;8,06;0;14,29;0;0,72;0;1,84;0,94;0;11,9;0;0
"amigo";0;0;0;0;3,52;2,47;0;0;0;0;2,15;0;3,68;0,47;0;0;0;0
"supremo";0;0;5,15;4,1;0;0;0;0;0;0;5,74;0;0;0,47;0;0;0;0
"cuidar";30;2,19;0;0;0;0;0;2,73;28,57;0;0;0;0;0,47;0;5,95;0;0
"ministério";0;2,19;0;0;3,52;0,82;0;1,36;0;0;0,72;0;0;1,88;0;0;0;2,99
"mundo";0;2,19;10,31;0;2,35;3,3;0;0;0;0;2,15;0;3,68;1,41;0;0;0;1,49
"tão";0;0;0;12,3;1,17;0;0;1,36;0;13,12;1,43;0;5,51;0;0;0;0;0
"chamar";0;2,19;0;4,1;4,69;1,65;0;1,36;0;0;4,3;0;3,68;0,94;0;0;0;1,49
"possibilidade";0;0;0;4,1;0;0;8,06;5,46;0;2,62;1,43;0;0;0,94;0;0;0;0
"comunicação";0;0;0;4,1;4,69;0,82;8,06;8,19;0;2,62;10,76;8,2;0;3,29;0;0;0;2,99
"possível";0;0;0;8,2;0;1,65;0;1,36;0;7,87;2,15;8,2;0;1,88;0;0;0;0
"parte";0;0;0;4,1;1,17;0,82;0;2,73;14,29;2,62;0,72;0;1,84;4,23;0;0;0;0
"diante";0;8,75;0;4,1;0;1,65;0;0;0;0;1,43;0;0;0,47;0;0;0;0
"comissão_de_constituição_e_justiça";0;0;0;4,1;0;0;0;5,46;0;2,62;0;0;5,51;0,47;0;0;0;0
"deputado_federal";0;4,38;0;0;0;3,3;0;1,36;0;0;0,72;0;3,68;0;0;5,95;0;1,49
"maior";0;10,94;0;4,1;1,17;2,47;0;0;14,29;5,25;6,46;0;0;3,29;0;0;0;2,99
"estado";0;15,32;0;12,3;3,52;4,12;16,13;4,09;0;5,25;15,78;0;7,35;8,93;0;17,86;0;26,87
"manutenção";0;0;0;4,1;0;0,82;0;5,46;0;2,62;0,72;0;5,51;1,88;0;0;200;1,49
"aparte";0;0;0;0;11,74;0;0;0;0;0;0,72;0;0;0;0;0;0;0
"momento";0;8,75;0;12,3;4,69;5,77;8,06;1,36;14,29;0;5,02;16,39;5,51;2,82;0;0;0;1,49
"vida";0;4,38;0;4,1;4,69;0,82;0;1,36;0;2,62;2,15;0;3,68;4,23;0;0;0;0
"criação";0;0;0;0;1,17;0;40,32;1,36;0;0;0;0;0;1,88;0;0;0;0
"nacional";10;0;0;0;2,35;0,82;8,06;0;14,29;15,75;0,72;0;1,84;1,88;0;29,76;0;4,48
"preso";0;0;0;0;0;18,96;0;1,36;0;0;1,43;0;3,68;2,35;0;0;0;2,99
"fato";0;4,38;0;4,1;0;0,82;0;1,36;0;0;3,59;0;0;0,47;0;0;0;2,99
"rio_grande_do_sul";0;0;0;0;7,04;0;0;2,73;0;5,25;6,46;0;0;0,47;0;5,95;0;0
"usar";0;6,56;0;4,1;2,35;3,3;0;0;0;0;2,87;0;0;1,88;0;0;0;0
"ação";0;0;0;12,3;1,17;0;8,06;4,09;0;0;1,43;0;0;5,64;0;0;0;4,48
"microfone";0;0;0;0;10,56;0;0;0;0;0;1,43;0;0;0;0;0;0;0
"desenvolvimento";0;8,75;0;0;0;0,82;0;0;0;5,25;0,72;0;0;0,94;0;5,95;0;0
"em";30;8,75;0;16,39;11,74;11,54;24,19;6,82;42,86;10,5;12,2;24,59;16,54;8,93;0;17,86;0;16,42
"tema";0;2,19;5,15;0;3,52;0;0;0;0;0;0;0;1,84;1,41;0;0;0;1,49
"constituição_federal";0;0;0;0;0;9,07;0;1,36;0;2,62;1,43;0;0;0,94;0;0;0;1,49
"colega";50;0;5,15;0;7,04;1,65;0;0;0;2,62;1,43;0;0;1,41;0;0;0;5,97
"povo";0;10,94;5,15;0;10,56;5,77;8,06;8,19;0;5,25;2,87;0;5,51;7,05;0;11,9;0;5,97
"coisa";0;4,38;5,15;0;0;1,65;0;0;0;0;0;0;1,84;2,35;0;0;0;1,49
"presença";0;0;0;0;2,35;3,3;0;2,73;0;0;4,3;0;0;2,35;0;0;0;1,49
"assunto";0;0;0;0;1,17;2,47;0;5,46;0;5,25;0,72;0;0;1,88;0;0;0;1,49
"sempre";0;6,56;0;0;2,35;5,77;0;0;0;0;2,87;0;0;1,41;0;0;0;2,99
"rural";0;15,32;0;0;0;0;0;4,09;0;7,87;0;0;0;9,87;0;0;0;4,48
