document,Bormuth.GP
text650,1267243106.0995376
text651,-232868.80013871085
text652,10480472.612757653
text653,-180058.63487732533
text654,-468808.32010939263
text655,889518623.9215828
text656,-498710.9827375651
text657,-503546.83736824855
text658,2560005.0019447906
text659,2643233.9532005596
text660,-530039.9952735867
text661,47494477.58790576
text662,-397781.18588899286
text663,19276188.743328363
text664,794519.8085591083
text665,14765752.689005692
text666,168961143.3215137
text667,-506255.14238595945
text668,675637.8770378926
text669,565492777.9568218
text670,91823964.61801104
text671,37403287.021114856
text672,466498197.05213934
text673,4366766.208171354
text674,-515430.8404945053
text675,-253907.04785277185
text676,16335478.414324393
text677,682599.4918992327
text678,10329580.570796086
text679,34244892.299785905
text680,-514808.8588022647
text681,-523648.31876995275
text682,-489141.9507663139
text683,1309451.527028937
text684,-498710.9827375651
text685,344942585.43733066
text686,31383126.219350893
text687,5319402.051303116
text688,-323970.28405173315
text689,12461863.660796111
text690,42938.9632426225
text691,211344918.0962816
text692,480076798.68682235
text693,170654483.83553717
text694,13570679.832813775
text695,76868042.2034578
text696,2297931.8317294824
text697,653519.0333035989
text698,5699381.349616884
text699,38335264.8451696
text700,68132829.9334199
text701,24557148.570868
text702,663296449.6298488
text703,146099307.33299127
text704,1367041704.3460019
text705,112584437.81365979
text706,-468808.32010939263
text707,NA
text708,118622.85441222612
text709,61807219.17593234
text710,1538394.5259851739
text711,-507868.34351922834
text712,-43634.295313494105
text713,1565949725.930997
text714,1009685828.4250001
text715,61017824.82161892
text716,-507868.34351922834
text717,-20089.621139101626
text718,148712484.0987758
text719,7237538.472283462
text720,-507308.3708883608
text721,50567298.387546726
text722,-468808.32010939263
text723,450445598.58369744
text724,46792362.60994073
text725,39611070.79243383
text726,34486762.89730978
text727,-494151.2330911187
text728,-515430.8404945053
text729,500307.4205979642
text730,5419354.046725828
text731,-263719.26091725065
text732,2947215.837348454
text733,-461425.9760832642
text734,-433017.6699685676
text735,23722984.578184098
text736,275804665.2325604
text737,2252611018.444067
text738,1538394.5259851739
text739,18317599.29617764
text740,-507308.3708883608
text741,3356315.686469047
text742,23660678.42466087
text743,15930864.921843084
text744,40131297.36248846
text745,61015703.10761893
text746,71993492.98528153
text747,-506609.5863614736
text748,136847008.7940233
text749,-506648.6611416267
text750,-498710.9827375651
text751,-588544.5879062809
text752,337658.21312229935
text753,17275724.546510514
text754,3443415.8157675853
text755,1168512.6642716993
text756,8695947.841979217
text757,21024275.945006423
text758,369059070.02525145
text759,30872381.464118857
text760,24595978.957408607
text761,17342579.451351352
text762,130090672.32337815
text763,48323565.12589424
text764,6516051.750960816
text765,172600365.7391508
text766,-448305.8588709137
text767,-136608.2668171787
text768,3924526.9303711536
text769,16240207.170054143
text770,99584942.67372847
text771,926676616.8970498
text772,5825768.062168973
text773,15738628.927116862
text774,-182397.3426974144
text775,-515430.8404945053
text776,118622.85441222612
text777,105021746.53698361
text778,4256957.60170803
text779,355718887.7828763
text780,99434657.94250375
text781,337244428.18270993
text782,4421748.07184227
text783,293325196.1166692
text784,-588387.4239062809
text785,443963.7965400822
text786,2058527.5561532725
text787,13021180.917030198
text788,183514234.31761155
text789,200665714.9382097
text790,23627770.610701527
text791,15685220.99327493
text792,98676898.16041978
text793,-232868.80013871085
text794,558833.5850809129
text795,60719188.83361157
text796,-495757.741063643
text797,67518928.49199723
text798,76351956.7519596
text799,146549229.38244173
text800,5002049.462524162
text801,54750108.4554666
text802,12146895.723656036
text803,24553533.798868
text804,58174963.22236769
text805,42233509.722247146
text806,90877639.37416539
text807,-283133.7187945633
text808,-389433.0481311962
text809,16149109.008752879
text810,126248701.60373159
text811,3556869.2291853866
text812,54943122.16690293
text813,17770892.048911583
text814,19791718.810879476
text815,NA
text816,184125325.43789116
text817,11810307.832063245
text818,44627374.07750494
text819,-495757.741063643
text820,78418489.37843654
text821,12064159.109329928
text822,-425257.85699148953
text823,6184019.334882902
text824,211364660.2663415
text825,-136608.2668171787
text826,2947215.837348454
text827,51525972.101075925
text828,-498710.9827375651
text829,639387479.6723495
text830,173766904.6062832
text831,16406914.062624501
text832,368358967.6590687
text833,553134103.4063137
text834,192033071.60456043
text835,79366162.80571792
text836,34752821.09176816
text837,42117540.98530993
text838,-515430.8404945053
text839,-61299.55980700947
text840,19426829.54660891
text841,35381986.541546874
text842,-316427.6923818969
text843,-414539.32922896184
text844,-491635.50886297575
text845,325672007.54227996
text846,3909008.8716223557
text847,1662742.484139563
text848,54824532.326818146
text849,21729816.573811993
text850,293631709.93063104
text851,78721814.45792721
text852,305677103.42338246
text853,12402648.664491514
text854,23586.298625833646
text855,49754028.21494126
text856,-470320.14505032555
text857,11129.747272335982
text858,1059026553.4000956
text859,414347591.02450985
text860,12183430.118136885
text861,-498710.9827375651
text862,69799.89272915642
text863,4934066.444353605
text864,27121666.72668909
text865,10359302.655742906
text866,-470320.14505032555
text867,476713269.1929453
text868,2138423.0126283807
text869,NA
text870,-507308.3708883608
text871,25778911.874179434
text872,903125.6453792963
text873,353807507.5598754
text874,29419191.50373933
text875,76883685.02729647
text876,153718232.5766271
text877,124172694.10902339
text878,-498710.9827375651
text879,-486116.58478573133
text880,-20089.621139101626
text881,5835248.269437801
text882,146530470.13446912
text883,29594239.459952444
text884,3634078.19432455
text885,73207334.54341957
text886,4496592.457184006
text887,1829500456.3174613
text888,110869420.3538462
text889,-371998.8736261254
text890,1310582.1051111314
text891,-507868.34351922834
text892,168918982.17946115
text893,486836085.42659676
text894,528242577.8502525
text895,46096088.43775128
text896,-232868.80013871085
text897,8575978.306367422
text898,-273339.2393897431
text899,52964332.296603724
text900,84913225.00125484
text901,54367062.68808058
text902,324082046.50918055
text903,21525563.124859937
text904,949822863.0138762
text905,1277921246.7949545
text906,2516013.5377193843
text907,33394749.580961294
text908,-80616.8792639682
text909,98859300.71718806
text910,126039553.69809952
text911,1792692803.5113244
text912,265964658.67059022
text913,423157632.2485189
text914,3096725304.699919
text915,422934221.87023497
text916,41911307.33899519
text917,174078724.1769491
text918,23994712.311342496
text919,77961034.07161722
text920,18861027.340588335
text921,666129415.0661935
text922,9159107.457557999
text923,75240995.5135033
text924,-470320.14505032555
text925,-491158.0873267716
text926,45519512.089267515
text927,28180691.69811258
text928,734376932.0244516
text929,110632789.2396893
text930,17671134.795178164
text931,883091767.4467479
text932,735744934.4478797
text933,9826086108.64199
text934,690119395.3775128
text935,86624485.87933324
text936,207284725.32969022
text937,141510841.9925008
text938,39274057.37385934
text939,13587638775.06971
text940,7993229721.386429
text941,2424192207.642546
text942,3712182517.8488607
text943,57439774.19585452
text944,8946089.092907343
text945,21243019.12653723
text946,NA
text947,3228145.3111008005
text948,1275966.7717837077
text949,NA
text950,35704656.04828846
text951,-586061.565470865
text952,NA
text953,-518521.9039001888
text954,5326853.88388267
text955,-501327.03316332574
text956,3229110.2103979737
text957,887253265.1211983
text958,17387927.82488164
text959,3443329159.9523816
text960,7647306.60163929
text961,360699430.3828737
text962,-500448.7322128073
text963,407317081.4007588
text964,172863948.43861642
text965,4934066.444353605
text966,682599.4918992327
text967,46764329.12532087
text968,3873756.3505754336
text969,4960387.52684772
text970,-494151.2330911187
text971,-588387.4239062809
text972,-503491.6215099212
text973,-494151.2330911187
text974,-501521.9458036848
text975,-507479.44601027766
text976,-546655.1966867504
text977,1237487.2184359722
text978,193531.66257599596
text979,9055189.013929581
text980,-494151.2330911187
text981,672046.7540024028
text982,1459262.0921437864
text983,1099309.9128062224
text984,15836848.913236622
text985,3238082.1646069298
text986,-461586.85243185435
text987,-170850.4216421593
text988,1688977.5370631155
text989,-586061.565470865
text990,-503560.32823115645
text991,32965773.103509407
text992,7234832.107935597
text993,558164.7222964184
text994,2221279.1356939017
text995,44329790.658087656
text996,11901357.271328973
text997,22495396.90698986
text998,239584.92167312128
text999,15738628.927116862
text1000,7238769.590283462
text1001,383973.95736897597
text1002,412289861.71401805
text1003,784982134.6391968
text1004,14394009.622537967
text1005,14964497.991475618
text1006,192552062.70977172
text1007,-498237.34340399003
text1008,-465042.06906367524
text1009,675637.8770378926
text1010,-500448.7322128073
text1011,-286743.8920397782
text1012,18543118.137138695
text1013,341803837.75898194
text1014,331628873.4483218
text1015,-506761.03364508465
text1016,-509333.9704738147
text1017,107184.47191514645
text1018,-458774.74065421004
text1019,-506781.78836879163
text1020,239584.92167312128
text1021,5195721.486706154
text1022,1292390302.5648656
text1023,3751786.7491419963
text1024,62478.44190022611
text1025,6474785.755911417
text1026,2048430.005330629
text1027,-353542.4992486378
text1028,11549336.433965815
text1029,68348557.00558361
text1030,43712007.92877468
text1031,-399971.6439358124
text1032,-503546.83736824855
text1033,-622128.3929579249
text1034,-622128.3929579249
text1035,552354.9911510071
text1036,-474514.1202109905
text1037,2947215.837348454
text1038,-622128.3929579249
text1039,-514808.8588022647
text1040,-558416.4052080109
text1041,143277335.37085602
text1042,51661977.39871432
text1043,2382548.0931532807
text1044,7832955.804097982
text1045,71984643.24652432
text1046,640542768.3864911
text1047,-418128.0078098073
