"";"";"";"";"*deputado_ELI_BORGES";""
"1";"*deputado_ELI_BORGES";"0.313829192252518";"-0.877080291321404";"1.00396106022249";"47"
"2";"*deputado_BOHN_GASS";"0.2974097107379";"-1.54273018876972";"0.986637810555906";"56"
"3";"*deputado_JEFFERSON_CAMPOS";"0.305638642726727";"-0.98280030889612";"0.983510489622182";"57"
"4";"*deputado_DANIEL_FREITAS";"0.305638642726727";"-0.98280030889612";"0.983510489622182";"58"
"5";"*deputado_LAURA_CARNEIRO";"0.305638642726727";"-0.98280030889612";"0.983510489622182";"59"
"6";"*deputado_LUISA_CANZIANI";"0.305638642726727";"-0.98280030889612";"0.983510489622182";"60"
"7";"*deputado_OSMAR_TERRA";"0.31178155487107";"-0.903510295715083";"0.982456336498455";"61"
"8";"*partido_PSB";"0.316518867826559";"-0.569401630540016";"0.982368490404811";"62"
"9";"*deputado_DEFENSOR_STÉLIO_DENER";"0.3229212734005";"-0.860549130082582";"0.973056804478554";"63"
"10";"*uf_RR";"0.3229212734005";"-0.860549130082582";"0.973056804478554";"64"
"11";"*deputado_BRUNO_FARIAS";"0.324067379159756";"-0.744930269353008";"0.968822622764916";"67"
"12";"*deputado_JOÃO_DANIEL";"0.300806758341866";"-0.986152937704635";"0.960020444181794";"70"
"13";"*deputado_MERLONG_SOLANO";"0.301709137266418";"-1.37920783139752";"0.960020444181794";"72"
"14";"*deputado_DELEGADO_MARCELO_FREITAS";"0.32389363883223";"2.08574399967819";"0.938129197645725";"78"
"15";"*deputado_ALFREDO_GASPAR";"0.306374641931284";"-0.47566512003488";"0.929854095624466";"82"
"16";"*deputado_PADRE_JOÃO";"0.305863579098396";"-1.25487537642348";"0.929854095624466";"83"
"17";"*partido_PODE";"0.322019741778308";"-0.771360273746687";"0.929010773125484";"84"
"18";"*deputado_GILSON_DANIEL";"0.322019741778308";"-0.771360273746687";"0.929010773125484";"85"
"19";"*deputado_AFONSO_HAMM";"0.30396982685114";"-1.36731220225017";"0.928378281251248";"86"
"20";"*deputado_MARCELO_ÁLVARO_ANTÔNIO";"0.315467302157676";"-0.85593628780646";"0.925057698911507";"89"
"21";"*deputado_DUARTE_JR";"0.325797676868493";"-0.317893941439684";"0.92458333000583";"90"
"22";"*deputado_RICARDO_MAIA";"0.3083432375933";"-1.2503668779038";"0.924108961100153";"91"
"23";"*partido_MDB";"0.310684875188987";"-0.787743841630106";"0.911775369552544";"93"
"24";"*uf_PI";"0.308887333751674";"-0.720778402700484";"0.907031680495771";"94"
"25";"*deputado_GABRIEL_NUNES";"0.313829192252518";"-0.877080291321404";"0.897034795039092";"95"
"26";"*deputado_ALICE_PORTUGAL";"0.310071059953181";"-0.879687891505805";"0.896859102851804";"96"
"27";"*dec_text270";"0.330210291304099";"-0.665640256171971";"0.891500491139524";"97"
