"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"138";138;0;0;0;0;0;0;0;3;3
"139";139;0;0;0;0;0;0;4;4;4
"140";140;0;0;0;0;0;0;0;2;2
"141";141;0;0;0;0;0;0;0;0;1
"142";142;0;0;0;0;0;0;0;3;3
"143";143;0;0;0;0;0;0;0;3;3
"144";144;0;0;0;0;0;0;0;0;1
"145";145;0;0;0;0;0;0;0;0;1
"146";146;0;0;0;0;0;0;0;3;3
"147";147;0;0;0;0;0;0;0;3;3
"148";148;0;0;0;0;0;0;0;3;3
"149";149;0;0;0;0;0;0;0;0;0
"150";150;0;0;0;0;0;0;0;0;0
"151";151;0;0;0;0;0;0;0;2;2
"152";152;0;0;0;0;0;0;0;2;2
"153";153;0;0;0;0;0;0;0;3;3
"154";154;0;0;0;0;0;0;0;2;2
"155";155;0;0;0;0;0;0;0;2;2
"156";156;0;0;0;0;0;0;0;2;2
"157";157;0;0;0;0;0;0;0;2;2
"158";158;0;0;0;0;0;0;0;2;2
"159";159;0;0;0;0;0;0;0;2;2
"160";160;0;0;0;0;0;0;0;0;0
"161";161;0;0;0;0;0;0;0;0;0
"162";162;0;0;0;0;0;0;0;2;2
"163";163;5;5;5;5;5;5;5;5;5
"164";164;0;0;0;0;0;0;0;0;0
"165";165;0;0;0;0;0;0;4;4;4
"166";166;0;0;0;0;0;0;4;4;4
"167";167;0;0;0;0;0;0;4;4;4
"168";168;0;0;0;0;0;0;0;2;2
"169";169;0;0;0;0;0;0;4;4;4
"170";170;0;0;0;0;0;0;0;3;3
"171";171;0;0;0;0;0;0;0;3;3
"172";172;0;0;0;0;0;0;0;0;1
"173";173;0;0;0;0;0;0;0;3;3
"174";174;0;0;0;0;0;0;0;3;3
"175";175;0;0;0;0;0;0;0;3;3
"176";176;0;0;0;0;0;0;0;0;0
"177";177;0;0;0;0;0;0;0;0;0
"178";178;5;5;5;5;5;5;5;5;5
"179";179;0;0;0;0;0;0;0;3;3
"180";180;0;0;0;0;0;0;4;4;4
"181";181;0;0;0;0;0;0;4;4;4
"182";182;0;0;0;0;0;0;4;4;4
"183";183;0;0;0;0;0;0;4;4;4
"184";184;0;0;0;0;0;0;4;4;4
"185";185;0;0;0;0;0;0;0;0;0
"186";186;0;0;0;0;0;0;4;4;4
"187";187;0;0;0;0;0;0;0;2;2
"188";188;0;0;0;0;0;0;4;4;4
"189";189;5;5;5;5;5;5;5;5;5
"190";190;0;0;0;0;0;0;0;3;3
"191";191;0;0;0;0;0;0;0;3;3
"192";192;0;0;0;0;0;0;0;3;3
"193";193;0;0;0;0;0;0;0;3;3
"194";194;0;0;0;0;0;0;0;3;3
"195";195;0;0;0;0;0;0;0;3;3
"196";196;0;0;0;0;0;0;0;3;3
"197";197;0;0;0;0;0;0;0;3;3
"198";198;5;5;5;5;5;5;5;5;5
"199";199;5;5;5;5;5;5;5;5;5
"200";200;5;5;5;5;5;5;5;5;5
