criar;2;2;9;0;0
apoio;0;0;11;2;0
anunciar;0;7;5;0;0
animal;0;0;6;0;0
acabar;2;2;7;2;0
último;2;0;7;1;1
voltar;2;2;4;2;1
transporte;0;7;2;1;0
trabalhar;1;2;4;4;0
sras;7;2;3;0;0
sociedade;6;0;3;3;0
resposta;9;0;0;0;0
representante;0;2;5;3;0
realizar;1;1;8;0;0
polícia_federal;7;2;1;0;0
movimento;0;4;2;2;0
morte;6;2;3;0;0
mato_grosso;3;5;0;1;1
judicial;9;0;1;1;0
investigação;12;0;0;0;0
hediondo;11;0;0;0;0
habitacional;0;8;0;0;0
exa;0;0;1;1;9
eminente;0;0;0;1;11
droga;4;2;2;0;0
deputado_federal;5;0;3;3;0
defesa;3;1;4;1;0
coisa;2;4;0;3;0
ato;6;0;0;1;0
assassinato;11;0;0;0;0
amigo;2;0;4;4;0
agradecer;2;0;3;6;0
urbano;0;6;2;0;0
tomar;4;0;6;1;0
supremo;9;0;0;0;0
soltar;9;0;0;0;0
solicitar;2;0;0;0;1
prerrogativa;8;0;1;0;0
possibilidade;5;0;5;0;0
político;2;3;4;1;1
passo;2;2;2;3;0
papel;3;0;6;1;0
operação;1;6;1;0;0
necessário;6;1;3;1;0
microfone;0;0;0;1;10
liberar;5;0;3;0;0
juiz;8;0;0;0;0
inafiançável;10;0;0;0;0
importância;2;1;7;1;0
grave;1;8;2;0;0
garantir;3;1;5;1;0
feira;0;0;10;0;0
emprego;0;7;1;0;0
desenvolvimento;0;3;5;0;0
cumprir;4;1;5;0;0
criação;0;0;9;0;0
conseguir;3;2;5;1;0
concluir;4;1;3;0;0
certeza;3;1;6;1;0
cautelar;11;0;0;0;0
br;0;1;4;0;0
aprovação;5;0;3;1;0
aparte;0;0;0;0;11
agricultura;0;1;9;0;0
achar;0;2;2;6;0
zona;0;5;0;0;0
tema;1;1;7;1;0
silvestre;0;0;7;0;0
sentido;5;0;4;1;0
semana;1;3;6;0;0
responsabilidade;1;1;1;2;0
reconhecer;1;0;2;6;0
presidência;5;0;0;5;0
potássio;0;8;0;0;0
popular;3;6;0;1;0
permitir;2;0;3;1;2
perder;2;0;7;1;0
obra;0;7;0;0;0
mínimo;3;2;2;0;0
manifestação;1;0;2;5;2
jaboatão;0;0;6;1;0
investimento;0;6;2;0;0
inteiro;4;0;4;2;0
inclusão;1;0;2;5;0
imprensa;2;4;0;0;0
guarda;0;0;6;0;0
garantia;5;0;3;1;0
fundamental;4;1;4;1;0
frente;1;2;6;1;0
enfermagem;0;0;6;0;0
economia;1;3;5;0;0
discutir;5;1;4;0;0
devido;5;0;2;1;0
defensoria_pública;0;1;5;0;0
cuidar;0;0;7;1;0
construir;0;8;0;0;0
compromisso;1;4;1;1;1
comissão_de_constituição_e_justiça;9;0;0;0;0
civil;7;0;2;0;0
cadeia;1;4;4;0;0
assumir;1;3;3;2;0
anderson;10;0;0;0;0
acusar;4;6;0;0;0
vista;4;3;2;0;0
valer;2;0;0;4;0
sério;3;3;1;2;0
sul;0;7;0;0;0
stf;5;0;3;0;0
seguinte;8;0;0;0;0
saudar;0;2;1;6;0
rodovia;0;0;7;0;0
rio_grande_do_norte;1;1;1;0;1
região;0;4;1;4;0
registro;1;0;1;6;0
razão;6;1;1;0;0
punir;6;1;1;0;0
produtor;0;1;7;0;0
preventivo;8;0;0;0;0
piso;0;0;8;0;0
partido;3;0;4;0;2
organização;6;0;2;0;0
obstrução;7;0;0;0;0
número;0;2;4;0;1
municipal;0;1;7;0;0
mandante;9;0;0;0;0
lugar;1;0;2;3;1
jovem;0;0;5;4;0
inscrição;0;0;0;0;9
idade;1;1;2;1;0
homem;0;4;2;2;0
feliz;0;0;1;8;0
espírito_santo;0;0;5;0;1
equipa;1;2;4;1;0
enfrentar;1;1;5;0;0
discussão;6;0;1;0;0
dignidade;0;8;1;0;0
congresso_nacional;4;0;1;4;0
condição;2;0;5;1;0
cidadania;8;0;0;1;0
carinho;0;0;2;6;0
autoridade;2;0;0;5;0
acordo;2;0;4;0;1
vitória;2;0;4;0;0
uso;0;0;2;1;4
técnico;1;0;7;0;0
tornar;2;1;3;0;0
subsidiário;0;0;5;0;0
sofrer;0;1;3;3;0
seguida;1;0;0;1;6
reunião;6;0;0;0;1
relator;7;0;1;0;0
receber;0;2;2;3;0
proteger;5;0;3;0;0
produzir;0;2;5;1;0
principal;0;6;2;0;0
praticar;5;1;2;0;0
ponto;0;6;2;0;0
pensar;2;3;3;0;0
partir;1;1;5;0;1
paraíba;0;1;3;1;0
necessidade;1;4;3;0;0
mão;2;5;0;0;0
mudar;0;3;3;1;0
milhar;0;0;5;0;0
medida;7;1;0;0;0
longo;5;1;1;0;0
jogo;1;0;5;0;0
irmão;3;0;0;5;0
história;3;1;4;0;0
grupo;3;1;2;1;0
gestão;1;2;3;2;0
falta;0;2;4;1;0
espaço;2;1;2;3;0
dúvida;3;1;3;1;0
dono;2;2;2;1;0
discurso;4;0;0;1;0
dirigir;0;1;1;0;6
dinheiro;0;2;5;1;0
crise;0;1;6;0;0
constitucional;5;1;0;0;0
conquista;0;1;5;0;0
conhecer;0;0;2;6;0
cobrar;1;0;6;0;0
chamado;2;1;3;1;0
certo;1;0;5;1;0
categoria;0;0;6;0;0
caro;2;1;3;0;0
bancada;6;0;0;0;2
atendimento;0;1;6;1;0
associação;0;2;5;0;0
anúncio;0;4;3;0;0
alexandre_de_moraes;7;0;0;0;0
agente;0;0;7;1;0
acompanhar;1;1;2;3;0
acidente;0;0;5;0;0
abril;0;0;3;4;0
universidade;0;0;3;3;0
unanimidade;5;0;1;1;0
turma;7;0;0;0;0
torno;3;3;1;0;0
terreno;0;2;1;1;0
tender;5;1;0;1;0
solução;0;1;6;0;0
servir;3;0;2;2;0
resultado;5;0;2;0;0
respeitado;2;0;1;4;0
recurso;0;0;3;3;0
proteção;0;0;2;5;0
problema;0;4;1;1;0
prestar;0;0;4;3;0
presidir;0;1;2;4;0
parlamento_federal;0;0;0;5;0
ordem;6;0;0;0;0
ocupar;1;2;0;2;2
ocupacional;0;0;5;0;0
norte;0;4;0;2;0
nobre;0;0;3;2;0
nação;1;0;4;1;0
mês;0;1;3;3;0
médio;2;2;2;0;0
missão;0;1;1;4;1
mesmo;1;0;3;1;0
merecer;1;0;3;1;0
membro;6;0;0;0;0
melhorar;1;0;5;1;0
maranhão;0;5;0;0;0
ligação;0;7;0;0;0
liberdade_de_expressão;4;0;2;1;0
legal;6;0;0;0;0
justo;1;0;4;2;0
judiciário;5;0;2;0;0
interesse;2;0;3;0;0
guerreiro;0;2;0;1;0
fronteira;2;0;1;1;0
final;1;1;4;0;1
expor;4;0;1;0;0
executar;2;1;1;0;0
estabelecer;1;0;6;0;0
esposo;0;0;3;3;0
entendimento;7;0;0;0;0
energia;0;4;2;0;0
eleger;1;1;1;3;0
efeito;7;0;0;0;0
documento;1;0;0;3;0
direto;2;4;0;0;0
deficiência;0;0;2;4;0
defensoria;0;0;4;0;0
dedicar;0;0;5;2;0
decidir;5;0;1;0;0
conta;3;1;2;1;0
chuva;0;3;3;0;0
carteira;0;0;0;4;0
campo;0;2;3;1;0
caixa;0;0;5;0;0
banco;0;1;4;0;0
avenida;0;6;0;1;0
atitude;1;0;3;2;0
alegria;0;1;1;5;0
agronegócio;0;1;4;0;0
absurdo;1;1;2;1;0
ônibus;0;4;1;0;0
total;0;3;2;0;0
setor;1;0;4;0;0
senado;1;0;3;0;0
salário;0;2;2;0;0
salvador;0;3;2;0;0
