"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"classe 1";0,243284383197801;1,39747324009105;-0,232663930163753;0,304875456389698;0,165564707512042;0,9510361709632;-0,158337066439832;0,207479884657129;0,0349911667922986;0,918667453782701;0,0194266614252293;0,0269147179997631;0,0187348966696978;0,61817272527099;0,0171348757040146;0,0294217001755233;0,316535802179773;0,97689262892745;0,302076196183168
"classe 2";0,215179223488284;-1,22953442953763;-1,46468492204125;1,06637763440309;0,0978034822479998;-0,558849255068229;-0,665730099075175;0,484691060527434;0,0148956903097164;0,386974831939369;0,418946411395434;0,179183066355479;0,00792773532179909;0,25883908689843;0,367313501273778;0,194702050817489;0,171217625688503;1,32428613410502;0,300270131330119
"classe 3";0,24802897437296;-0,445986873591011;0,112012191071582;-1,34817562238874;0,171542786165973;-0,308455216099922;0,0774703172867261;-0,932430588362833;0,0550430302612127;0,14160644571741;0,00681456558567643;0,796535958435704;0,0199053352217035;0,064358929872044;0,00405971219374673;0,588108695863803;0,323567326848705;0,794077815398542;0,204028476719011
"classe 4";0,22957261200088;-0,658487873990029;2,12729623992983;1,1785561867635;0,0907416241445062;-0,26027607842476;0,840842094208493;0,465839986749227;0,0137783978273985;0,0901977079672726;0,71816560966304;0,177858284542293;0,00712143824687513;0,0585899497317791;0,611481759540583;0,187684386759447;0,135122465721317;1,46903630401679;0,291603423753049
"classe 5";-4,20348618033787;0,0270915902928013;0,0137674448290067;-0,0394063927669338;-0,999929932117384;0,00644457740081242;0,00327501497154726;-0,00937403620564868;0,999917397951305;3,30487657033087e-05;6,51120931973368e-06;4,30420736684156e-05;0,946310594539925;3,93082267571783e-05;1,01512878780878e-05;8,31663837386786e-05;0,0535567795617016;3,15747103015826;0,533940917728106
